params,fold_scores,mean_test_roc_auc,std_test_roc_auc,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'contamination': 0.002345894230529666, 'n_bins': 4900.99267578125, 'n_random_cuts': 284.7115478515625}","{'roc_auc': [0.2300531914893617, 0.03025265957446809, 0.25268817204301075], 'fit_time': [0.1096045970916748, 0.09910082817077637, 0.0945596694946289], 'score_time': [0.012003898620605469, 0.007943153381347656, 0.008978605270385742]}",0.1709980077022802,0.09995007203892778,0.10108836491902669,0.006300803564854376,0.009641885757446289,0.0017228597791511654
"{'contamination': 0.0045372177846729755, 'n_bins': 1513.0133056640625, 'n_random_cuts': 378.05133056640625}","{'roc_auc': [0.26263297872340424, 0.09574468085106383, 0.2842741935483871], 'fit_time': [0.10204148292541504, 0.11279964447021484, 0.11233353614807129], 'score_time': [0.014994382858276367, 0.012930870056152344, 0.010523557662963867]}",0.21421728437428508,0.08423737841739475,0.10905822118123372,0.0049652308476038284,0.012816270192464193,0.0018270047123325967
"{'contamination': 0.0028096239548176527, 'n_bins': 3574.886474609375, 'n_random_cuts': 249.74148559570312}","{'roc_auc': [0.2230718085106383, 0.04720744680851064, 0.25907258064516125], 'fit_time': [0.09215283393859863, 0.0742485523223877, 0.0760495662689209], 'score_time': [0.006983518600463867, 0.007972478866577148, 0.006981372833251953]}",0.17645061198810338,0.09256299011231968,0.08081698417663574,0.008049307638062103,0.007312456766764323,0.0004667069246398861
"{'contamination': 0.004657956771552563, 'n_bins': 2821.56298828125, 'n_random_cuts': 138.56732177734375}","{'roc_auc': [0.21675531914893614, 0.05319148936170213, 0.2701612903225806], 'fit_time': [0.08244752883911133, 0.07007074356079102, 0.06459355354309082], 'score_time': [0.008976936340332031, 0.0049822330474853516, 0.004987001419067383]}",0.18003603294440632,0.09230457957861911,0.07237060864766438,0.00746807172930612,0.006315390268961589,0.0018819982822986252
"{'contamination': 0.0005304754013195634, 'n_bins': 2950.051513671875, 'n_random_cuts': 414.9768981933594}","{'roc_auc': [0.23404255319148934, 0.04521276595744681, 0.26276881720430106], 'fit_time': [0.16227245330810547, 0.1593170166015625, 0.12221717834472656], 'score_time': [0.01450490951538086, 0.018953561782836914, 0.011973381042480469]}",0.18067471211774574,0.09650130812303438,0.1479355494181315,0.018225615847548376,0.015143950780232748,0.0028852511266379555
"{'contamination': 0.0042557925917208195, 'n_bins': 4426.12255859375, 'n_random_cuts': 632.1681518554688}","{'roc_auc': [0.24135638297872342, 0.052526595744680854, 0.26411290322580644], 'fit_time': [0.2005167007446289, 0.21290850639343262, 0.23722076416015625], 'score_time': [0.018201112747192383, 0.017917394638061523, 0.02922368049621582]}",0.1859986273164036,0.09483512785303129,0.21688199043273926,0.015245512987121417,0.021780729293823242,0.0052642356800242165
"{'contamination': 0.0018821671837940812, 'n_bins': 4171.13037109375, 'n_random_cuts': 831.2645874023438}","{'roc_auc': [0.23537234042553193, 0.0764627659574468, 0.24059139784946237], 'fit_time': [0.44289112091064453, 0.5368320941925049, 0.3164482116699219], 'score_time': [0.04378819465637207, 0.0477445125579834, 0.022938966751098633]}",0.18414216807748038,0.0761706411980998,0.43205714225769043,0.09029690005391997,0.03815722465515137,0.010881471807935732
"{'contamination': 0.0021478317212313414, 'n_bins': 4104.0927734375, 'n_random_cuts': 577.0591430664062}","{'roc_auc': [0.2293882978723404, 0.07047872340425532, 0.2627688172043011], 'fit_time': [0.17780017852783203, 0.1728992462158203, 0.1634993553161621], 'score_time': [0.015957355499267578, 0.017916202545166016, 0.01650214195251465]}",0.18754527949363228,0.08389278349452267,0.17139959335327148,0.0059338073872780015,0.016791899998982746,0.0008255261883292036
"{'contamination': 0.003021969459950924, 'n_bins': 656.8634643554688, 'n_random_cuts': 278.58154296875}","{'roc_auc': [0.27859042553191493, 0.12101063829787234, 0.27352150537634407], 'fit_time': [0.0965273380279541, 0.07909393310546875, 0.10898804664611816], 'score_time': [0.010989665985107422, 0.008975744247436523, 0.011965036392211914]}",0.22437418973537712,0.07311835753177247,0.09486977259318034,0.01226037379727136,0.010643482208251953,0.0012446818300868169
"{'contamination': 0.003477253019809723, 'n_bins': 1417.96875, 'n_random_cuts': 740.3497314453125}","{'roc_auc': [0.24534574468085105, 0.07912234042553191, 0.2889784946236559], 'fit_time': [0.2717397212982178, 0.20578789710998535, 0.43248677253723145], 'score_time': [0.018016338348388672, 0.023509979248046875, 0.029920101165771484]}",0.20448219324334627,0.09041487245201384,0.30333813031514484,0.09520833163575296,0.023815472920735676,0.004864489496419678
"{'contamination': 0.0020849367137998343, 'n_bins': 1794.811767578125, 'n_random_cuts': 999.1218872070312}","{'roc_auc': [0.2333776595744681, 0.049867021276595744, 0.28830645161290325], 'fit_time': [0.7517368793487549, 0.6061880588531494, 0.854301929473877], 'score_time': [0.06702446937561035, 0.0696570873260498, 0.23102617263793945]}",0.19051704415465567,0.1019513437884285,0.7374089558919271,0.1017974794761256,0.12256924311319987,0.07669816095478425
"{'contamination': 0.002535611856728792, 'n_bins': 1707.3660888671875, 'n_random_cuts': 607.7153930664062}","{'roc_auc': [0.24069148936170212, 0.09175531914893617, 0.3010752688172043], 'fit_time': [0.42357349395751953, 0.4343273639678955, 0.7378988265991211], 'score_time': [0.03494095802307129, 0.04989266395568848, 0.058998823165893555]}",0.21117402577594754,0.08796654979662757,0.5319332281748453,0.1457058274532457,0.04794414838155111,0.009917753559973399
"{'contamination': 0.002034938195720315, 'n_bins': 3450.145263671875, 'n_random_cuts': 63.29854202270508}","{'roc_auc': [0.22872340425531917, 0.08244680851063829, 0.18111559139784944], 'fit_time': [0.044879913330078125, 0.048896074295043945, 0.04163408279418945], 'score_time': [0.005984067916870117, 0.0039904117584228516, 0.0029914379119873047]}",0.1640952680546023,0.060917863667371605,0.04513669013977051,0.0029702503695948563,0.004321972529093425,0.0012440278654480838
"{'contamination': 0.002345689805224538, 'n_bins': 3789.521240234375, 'n_random_cuts': 982.2957153320312}","{'roc_auc': [0.22273936170212766, 0.06382978723404255, 0.26411290322580644], 'fit_time': [0.7826755046844482, 0.6492669582366943, 0.7717306613922119], 'score_time': [0.03989434242248535, 0.05299806594848633, 0.18137311935424805]}",0.1835606840539922,0.08633098410395103,0.7345577081044515,0.06047496125629814,0.09142184257507324,0.063829726816556
"{'contamination': 0.002432580105960369, 'n_bins': 4252.9609375, 'n_random_cuts': 502.2527160644531}","{'roc_auc': [0.22340425531914893, 0.06449468085106383, 0.24731182795698925], 'fit_time': [0.5668721199035645, 0.2989671230316162, 0.3560292720794678], 'score_time': [0.021968841552734375, 0.024929523468017578, 0.02509760856628418]}",0.17840358804240067,0.08113495901069956,0.4072895050048828,0.11522146920001643,0.02399865786234538,0.001436936286719525
"{'contamination': 0.0031550403218716383, 'n_bins': 901.0706787109375, 'n_random_cuts': 543.4708862304688}","{'roc_auc': [0.2566489361702128, 0.10438829787234043, 0.2983870967741935], 'fit_time': [0.47705745697021484, 0.49343323707580566, 0.2354578971862793], 'score_time': [0.09205150604248047, 0.024932146072387695, 0.022544145584106445]}",0.2198081102722489,0.08337393011196993,0.4019828637440999,0.11794056386962921,0.0465092658996582,0.032217980119832436
"{'contamination': 0.00048186606727540493, 'n_bins': 3968.948974609375, 'n_random_cuts': 478.053466796875}","{'roc_auc': [0.22273936170212766, 0.06648936170212766, 0.260752688172043], 'fit_time': [0.7111659049987793, 0.2548367977142334, 0.24623703956604004], 'score_time': [0.045874834060668945, 0.02750563621520996, 0.01795172691345215]}",0.18332713719209945,0.08406169394522446,0.4040799140930176,0.21717096693309326,0.03044406572977702,0.011587371119680154
"{'contamination': 0.004184477496892214, 'n_bins': 4822.43408203125, 'n_random_cuts': 479.5735778808594}","{'roc_auc': [0.24734042553191488, 0.0625, 0.2547043010752688], 'fit_time': [0.34561634063720703, 0.2790381908416748, 0.4581785202026367], 'score_time': [0.06682682037353516, 0.017094850540161133, 0.07671666145324707]}",0.1881815755357279,0.08892112792661318,0.36094435056050617,0.07393251570202404,0.05354611078898112,0.0260892445200558
