params,fold_scores,mean_test_roc_auc,std_test_roc_auc,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'contamination': 0.0030826579313725233, 'n_components': 0.5511109232902527}","{'roc_auc': [0.8882978723404256, 0.9567819148936171, 0.9516129032258065], 'fit_time': [0.00399017333984375, 0.004988193511962891, 0.005615234375], 'score_time': [0.0009961128234863281, 0.0, 0.0009944438934326172]}",0.9322308968199496,0.031136930381187134,0.00486453374226888,0.0006691659714282934,0.0006635189056396484,0.0004691792123398823
"{'contamination': 0.0007362242904491723, 'n_components': 0.8537494540214539}","{'roc_auc': [0.9042553191489361, 0.9368351063829786, 0.9516129032258065], 'fit_time': [0.0019931793212890625, 0.0019948482513427734, 0.002994060516357422], 'score_time': [0.0, 0.0, 0.0]}",0.930901109585907,0.019783737949642784,0.0023273626963297525,0.0004714270419015834,0.0,0.0
"{'contamination': 0.004726703278720379, 'n_components': 0.7955108284950256}","{'roc_auc': [0.9042553191489361, 0.9368351063829786, 0.9516129032258065], 'fit_time': [0.003988504409790039, 0.002991914749145508, 0.001992940902709961], 'score_time': [0.0, 0.0009975433349609375, 0.0]}",0.930901109585907,0.019783737949642784,0.0029911200205485025,0.0008146855840926578,0.0003325144449869792,0.00047024643778554833
"{'contamination': 0.0005880692624486983, 'n_components': 0.5848917961120605}","{'roc_auc': [0.8882978723404256, 0.9567819148936171, 0.9516129032258065], 'fit_time': [0.0019943714141845703, 0.0019943714141845703, 0.002992868423461914], 'score_time': [0.0009970664978027344, 0.000997781753540039, 0.0]}",0.9322308968199496,0.031136930381187134,0.0023272037506103516,0.00047069600416966455,0.0006649494171142578,0.0004701903326584075
"{'contamination': 0.000689819164108485, 'n_components': 0.9141202569007874}","{'roc_auc': [0.910904255319149, 0.9474734042553191, 0.9489247311827956], 'fit_time': [0.003989219665527344, 0.003985404968261719, 0.002992868423461914], 'score_time': [0.0, 0.0, 0.0]}",0.9357674635857546,0.01759092439193306,0.0036558310190836587,0.0004687879338421215,0.0,0.0
"{'contamination': 0.000722803408280015, 'n_components': 0.9327239394187927}","{'roc_auc': [0.910904255319149, 0.9474734042553191, 0.9489247311827956], 'fit_time': [0.0025658607482910156, 0.0029892921447753906, 0.0029921531677246094], 'score_time': [0.0009970664978027344, 0.0009970664978027344, 0.0]}",0.9357674635857546,0.01759092439193306,0.002849102020263672,0.00020028522990075124,0.0006647109985351562,0.00047002165459349024
"{'contamination': 0.004429926164448261, 'n_components': 0.7772194743156433}","{'roc_auc': [0.9042553191489361, 0.9368351063829786, 0.9516129032258065], 'fit_time': [0.003987789154052734, 0.003989219665527344, 0.0039899349212646484], 'score_time': [0.000997304916381836, 0.0, 0.0]}",0.930901109585907,0.019783737949642784,0.003988981246948242,8.920806376395086e-07,0.00033243497212727863,0.0004701340461895193
"{'contamination': 0.0001634031650610268, 'n_components': 0.8766832947731018}","{'roc_auc': [0.910904255319149, 0.9474734042553191, 0.9489247311827956], 'fit_time': [0.0029914379119873047, 0.004014253616333008, 0.002991914749145508], 'score_time': [0.0, 0.0, 0.0]}",0.9357674635857546,0.01759092439193306,0.00333253542582194,0.00048204759467552035,0.0,0.0
"{'contamination': 0.0024609053507447243, 'n_components': 0.809929609298706}","{'roc_auc': [0.9042553191489361, 0.9368351063829786, 0.9516129032258065], 'fit_time': [0.004986763000488281, 0.003988504409790039, 0.003988027572631836], 'score_time': [0.0009975433349609375, 0.000997304916381836, 0.0009975433349609375]}",0.930901109585907,0.019783737949642784,0.004321098327636719,0.00047069604442453246,0.000997463862101237,1.1239159602905075e-07
"{'contamination': 0.003873102832585573, 'n_components': 0.765876054763794}","{'roc_auc': [0.9042553191489361, 0.9368351063829786, 0.9516129032258065], 'fit_time': [0.003989219665527344, 0.0029900074005126953, 0.0029914379119873047], 'score_time': [0.0009980201721191406, 0.0009970664978027344, 0.0]}",0.930901109585907,0.019783737949642784,0.0033235549926757812,0.00047069636646335185,0.0006650288899739584,0.0004702465989589376
