trial,roc_auc_mean,roc_auc_std,value,n_estimators,contamination,max_samples,max_features
0,0.8980687104400213,0.0709810977503463,82.7087612689675,249,0.00036447024801395,0.3111117049400556,0.6924808660784523
1,0.9175674902768245,0.04360108513609535,87.39664051407291,160,0.0004990259671431628,0.6008273062625635,0.5936996137354411
2,0.9151128650957064,0.054852667938999795,86.02601971567067,157,0.0021292707951505235,0.7235491755394081,0.76507648680134
3,0.9233513498055365,0.04045192300321977,88.28994268023168,130,0.002946324727475737,0.6057209668303761,0.8616254208269134
4,0.9118122283230382,0.05352001097427001,85.82922173487681,101,0.003720561111252272,0.43538721379651807,0.7120697079102667
5,0.9098199306032182,0.06574022284396103,84.40797077592572,104,0.003134948779900022,0.6131909855544833,0.7056982986418607
6,0.9153607107450621,0.049960009889104526,86.54007008559576,126,0.0005147592163448093,0.5989524832882676,0.5505133482446537
7,0.9160518188057654,0.05495039928085219,86.11014195249132,113,0.0015726703516708287,0.48299177793201153,0.6793965397966142
8,0.9204749103942652,0.04835669009024187,87.21182203040233,145,0.0032991653655884173,0.6450405672604423,0.6281674598059213
9,0.9109328528940747,0.06554901358640539,84.53838393076693,171,0.003979989911738812,0.6541744696378125,0.8208052747405696
10,0.9156037901319302,0.059071192500424724,85.65325976315054,91,0.002029404316440695,0.5830646498126504,0.8138038502554654
11,0.9069434911919468,0.06714984322267502,83.97936479692719,108,0.002664435953339565,0.5987698693355586,0.7246309141406462
12,0.9164593342484557,0.05325451947173058,86.32048147767252,154,0.0008545379126395408,0.6925498151400862,0.7680508232902674
13,0.9164641005109434,0.045042139928660574,87.14219605822828,174,0.002152037301134528,0.5970097018898548,0.5979631780101399
14,0.9149174483337147,0.05810813927602936,85.68093090576853,182,0.0025019508356066604,0.716728660719739,0.8309992926468202
15,0.9093885838480897,0.07052175965225017,83.88668241958396,128,0.0024100604164692713,0.6171746450307127,0.8160921759746433
16,0.911595363379852,0.06017175472554156,85.14236086543104,97,0.003344186772401373,0.8043126376145919,0.8080462402963515
17,0.9184659307557386,0.05511009494363851,86.33558358121,199,0.0018109052367775544,0.7287523184765378,0.7027302347822935
18,0.9260228399298406,0.03847345664951042,88.75493832803302,222,0.0019538464826927017,0.7570485746335596,0.5911583498609163
19,0.9260252230610844,0.04135547878298928,88.4669744278095,218,0.0017263516639820578,0.7727866678403699,0.600531611241693
20,0.9191570388164417,0.04910649697115456,87.00505418452872,122,0.0010131500418328386,0.49843998717711496,0.6138073931735812
21,0.9200316479829177,0.04362453993472529,87.64071080481925,173,0.0026479836225621043,0.572788688559613,0.6518818131201635
22,0.9235610653549912,0.045050610037710964,87.85104553172802,201,0.0015989383127535154,0.5591797587633238,0.8493894541762068
23,0.9098199306032182,0.052404114602994316,85.74158160002239,179,0.0007267420470475981,0.5117252503683314,0.6618975835756555
24,0.91001534736521,0.05571342928157528,85.43019180836346,98,0.0008996359118731403,0.7358243504307899,0.6862834964797231
25,0.9074010523907573,0.06578663189399728,84.16144204967601,179,0.0011236641921487849,0.3926353887318972,0.6927534555923652
26,0.931120357660337,0.03822118148541296,89.28991761749239,166,0.0016958740177254327,0.8141185423390287,0.8353831542505326
27,0.9149102989399832,0.056850252214713466,85.80600467252697,140,0.001278373291422124,0.7285883772111523,0.7172237250657778
28,0.9264613360787006,0.04087538803571374,88.55859480429868,224,0.0013795370919662622,0.7462542118976627,0.5078930787074827
29,0.9191451231602227,0.05420279033602159,86.49423328242011,233,0.0002548457924781536,0.8608625614534953,0.7661160867546537
30,0.9331174216426447,0.03484870459427197,89.82687170483727,132,0.002679068664871287,0.7204978690766926,0.6090720445321114
31,0.9255795775184931,0.0400675414489908,88.55120360695022,234,0.0031694496097343,0.7706363732075076,0.5769089050414046
32,0.9257940593304355,0.042872944644672735,88.29211146857628,232,0.00121232164382375,0.6494663372397456,0.5794597214767618
33,0.9160136887058644,0.05345772650772399,86.25559621981405,152,0.0024073391911277535,0.735200867399954,0.6902084066581072
34,0.9287062457103638,0.04508987560122313,88.36163701091407,185,0.0020749890141702207,0.8303278340131217,0.632335744028492
35,0.9097162643941128,0.06518615285382809,84.45301115402847,68,0.0035435330349398646,0.6618729531163862,0.694383417425763
36,0.9076345992526501,0.0730895985352847,83.45450007173653,115,0.002536159007717107,0.6488285947117427,0.6701834537906127
37,0.919128441241516,0.04267901446891446,87.64494267726016,193,0.000784045620032917,0.9472316378506773,0.579801041620565
38,0.9273645428201022,0.03986109680282634,88.75034460172758,219,0.002788667328845105,0.7099483476585702,0.5483008719069954
39,0.9262492373980019,0.0400419982111679,88.6207239186834,186,0.0018601564414792136,0.6721072406599009,0.5373986836140522
40,0.9106707084572561,0.05366158255483593,85.70091259024201,95,0.0026130913640477135,0.722584375217707,0.7189968683990251
41,0.9173768397773202,0.0521604023672916,86.52164374100286,252,0.0016136532629308802,0.6244034705666053,0.5224271932190492
42,0.9200316479829177,0.04362453993472529,87.64071080481925,173,0.001931203638310088,0.5777742020428769,0.6021937689901985
43,0.9091335888050027,0.0482855092834803,86.08480795215225,138,0.0029396951626580177,0.7547764755264643,0.401557423345707
44,0.9086855601311674,0.039804414806181625,86.88811453249858,212,0.0022698770597245504,0.8418185602367712,0.4780297196997344
45,0.9266853504156182,0.04050785220055119,88.61774982150669,160,0.000526446975693146,0.7710984234198556,0.6592183806453722
46,0.9304626134370473,0.03845929172112592,89.20033217159214,242,0.0023931472042746853,0.7147452154029629,0.6102323149534115
47,0.9255795775184931,0.0400675414489908,88.55120360695022,234,0.0027161753089634303,0.770888702827024,0.5610249026141427
48,0.9180322008693663,0.047462701870176045,87.05694989991902,214,0.0013791247495017877,0.5368641710526427,0.6367243115403475
49,0.9180298177381224,0.053456410823328374,86.4573406914794,216,0.0032172820038022187,0.7058430678013046,0.7201519007931769
50,0.9184659307557386,0.049533547376655815,86.89323833790827,216,0.002046948569238392,0.5968457458814673,0.638773023050458
51,0.9273526271638831,0.03903081205167539,88.83218151122078,208,0.001569508887374015,0.6513310783421364,0.6100935876020868
52,0.9137997597803706,0.057466256673236134,85.63335031071345,200,0.0006335718911125775,0.8233369798498176,0.736422235890116
53,0.916006539312133,0.05120133257720419,86.48052067349289,222,0.0010189938975962611,0.5202131018662284,0.7841644788436226
54,0.9309034927171509,0.03739433481686657,89.35091579002842,243,0.002121940838611005,0.7198493158303634,0.5227188586238732
55,0.9127225844581712,0.06312838672270256,84.95941977354687,153,0.0009877957758148575,0.5553136955855407,0.746577590272854
56,0.9284584000610082,0.04000804025439712,88.84503598066111,163,0.002239495147654398,0.650384824670909,0.6548926985070076
57,0.926249237398002,0.03908098329068509,88.71682541073169,201,0.001121616404711705,0.6607268978800613,0.6465829742254083
58,0.915143845801876,0.042024332176597,87.3119513625279,200,0.0018109228539647801,0.7199696887812606,0.4821941582453523
59,0.926918897277511,0.040503409771263245,88.64154875062478,225,0.0016892555874199553,0.669748709803792,0.5536172675368194
60,0.9147101159155037,0.050680430717055705,86.40296851984479,184,0.0013506916985969802,0.540437544198122,0.6495587634006721
61,0.9162424693052696,0.05541518566073579,86.08272836445339,182,0.0016961151406378872,0.7374942975893963,0.7530447578244268
62,0.9155942576069549,0.0543337856028011,86.12604720041539,238,0.002590806284803476,0.6191295821546196,0.6653843616168584
63,0.9177724395637917,0.031280754483994616,88.64916850797971,193,0.0020975475289816245,0.6466630462168277,0.49407254564092506
64,0.9144932509723175,0.049552909550854445,86.4940341421463,173,0.002414113691299224,0.44990494668859615,0.6246851174114691
65,0.9337894646533974,0.035715006587271184,89.80744580661262,204,0.002163615059439743,0.7237280123556126,0.6173130412176078
66,0.9260395218485473,0.03940762037968464,88.66319014688628,221,0.001126686100304463,0.6830604157383674,0.5949788504778699
67,0.9142406390604743,0.03762049130094893,87.66201477595253,229,0.0012352498497987152,0.6344095276476365,0.44480540173628114
68,0.9278125714939374,0.0401677130980951,88.76448583958422,193,0.0005426200135841049,0.651360910777075,0.8502621868565503
69,0.9202413635323724,0.04447970588988299,87.57616576424894,222,0.00171863577686305,0.5799720550028027,0.5370176240377066
70,0.9218070807595516,0.04692852351564564,87.4878557243906,231,0.0009502511779651696,0.6328232471118185,0.6319806497340017
71,0.9180179020819034,0.049298012917795044,86.87198891641084,216,0.0013019471509727063,0.6018215598083869,0.5779715389782119
72,0.9247002020895295,0.04317483943502409,88.15253626545055,234,0.0014626407179639954,0.659043956363792,0.6185689539085119
73,0.9178010371387173,0.055016744198020634,86.27842929406967,205,0.0019253311633908585,0.7200937260557463,0.7555057854665139
