params,fold_scores,mean_test_f1_score,std_test_f1_score,mean_test_specificity,std_test_specificity,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_roc_auc,std_test_roc_auc,mean_test_pr_auc,std_test_pr_auc,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'contamination': 0.003346635727211833, 'n_bins': 3244.047119140625, 'n_random_cuts': 459.5055236816406}","{'f1_score': [0.1049482163406214, 0.34701986754966885, 0.8250656899434669], 'precision': [0.05538013116346854, 0.2575697994494691, 0.7151138716356108], 'recall': [1.0, 0.5316558441558441, 0.9749717726759504], 'roc_auc': [0.7713681864728676, 0.6669791933288076, 0.8036188331674925], 'pr_auc': [0.20751426087582403, 0.1946949287995872, 0.865045522000233], 'specificity': [0.0, 0.7303627534990003, 0.29315068493150687], 'fit_time': [0.39212632179260254, 1.6069178581237793, 1.2699000835418701], 'score_time': [1.2494144439697266, 0.5232346057891846, 0.8170676231384277]}",0.42567792461125237,0.2992018397922086,0.34117114614350236,0.3000965527358597,0.3426879340828495,0.2759782294698149,0.8355425389439315,0.2151231360448665,0.7473220709897226,0.05831671885021734,0.4224182372252147,0.3130285064113693,1.0896480878194172,0.5120531910240774,0.8632388909657797,0.29825395088142403
"{'contamination': 0.0006616777391172945, 'n_bins': 4096.65673828125, 'n_random_cuts': 508.7668151855469}","{'f1_score': [0.1049482163406214, 0.4267905157663163, 0.8669438669438669], 'precision': [0.05538013116346854, 0.30535152151101785, 0.8032102728731942], 'recall': [1.0, 0.7086038961038961, 0.9416635302973279], 'roc_auc': [0.6458888768591573, 0.6807896027851041, 0.8625540057021771], 'pr_auc': [0.08706227181645322, 0.24156634499774468, 0.8991139349902743], 'specificity': [0.0, 0.7163667523564696, 0.5801369863013699], 'fit_time': [0.7740750312805176, 1.22517991065979, 2.0155680179595947], 'score_time': [0.9044694900512695, 0.6951265335083008, 0.757850170135498]}",0.4662275330169349,0.31233080927310075,0.4321679128859465,0.3106085059857001,0.38798064184922687,0.310840965616714,0.8834224754670746,0.12588867487390773,0.7297441617821462,0.09498545905939759,0.4092475172681574,0.35208399335606183,1.338274319966634,0.5131075053408606,0.7858153978983561,0.08772175266682422
"{'contamination': 0.0005516003002412617, 'n_bins': 770.034423828125, 'n_random_cuts': 97.7201156616211}","{'f1_score': [0.1049482163406214, 0.2796208530805687, 0.9536733738886289], 'precision': [0.05538013116346854, 0.19745649263721554, 0.9486129212437162], 'recall': [1.0, 0.4788961038961039, 0.9587881068874671], 'roc_auc': [0.8521183229351341, 0.6475610400738936, 0.9894898330076666], 'pr_auc': [0.29438352279136915, 0.543369811348887, 0.9943812624937542], 'specificity': [0.0, 0.657526421022565, 0.9054794520547945], 'fit_time': [0.09695577621459961, 0.15725326538085938, 0.2616994380950928], 'score_time': [0.15825676918029785, 0.1123347282409668, 0.16057038307189941]}",0.44608081443660635,0.3659374147899362,0.5210019576924532,0.3820579854237172,0.40048318168146674,0.39190226814588974,0.8125614035945237,0.23653612014603173,0.8297230653388982,0.1404872130157239,0.6107115322113368,0.28971294922578,0.17196949323018393,0.06805656497372113,0.1437206268310547,0.0222132719342936
"{'contamination': 0.003879493335261941, 'n_bins': 3988.453857421875, 'n_random_cuts': 471.8644104003906}","{'f1_score': [0.1049482163406214, 0.42669312825601585, 0.8233653548187171], 'precision': [0.05538013116346854, 0.30725259021078954, 0.6997629707663945], 'recall': [1.0, 0.698051948051948, 1.0], 'roc_auc': [0.6385125838509877, 0.5984555201296846, 0.7728521455344115], 'pr_auc': [0.08316442284794662, 0.1763143937198801, 0.8285301899517253], 'specificity': [0.0, 0.7230791202513568, 0.2191780821917808], 'fit_time': [0.5338029861450195, 1.1488604545593262, 1.3891336917877197], 'score_time': [0.8100559711456299, 0.5669543743133545, 0.6460859775543213]}",0.45166889980511815,0.2938237999074939,0.3140857341477125,0.30272809619162677,0.3541318973802175,0.2651484654229233,0.8993506493506493,0.14233967673235698,0.6699400831716945,0.07458467904918065,0.3626696688398507,0.3316009128619633,1.0239323774973552,0.36018784204227955,0.6743654410044352,0.101240283930098
"{'contamination': 0.00017821777146309614, 'n_bins': 4740.93310546875, 'n_random_cuts': 439.88482666015625}","{'f1_score': [0.10496029462538842, 0.09247506799637353, 0.7301913974068739], 'precision': [0.055386857767520954, 0.07366393837265287, 0.8056312443233424], 'recall': [1.0, 0.1241883116883117, 0.6676703048550997], 'roc_auc': [0.6431320007398285, 0.6312577204286716, 0.7511557091374039], 'pr_auc': [0.09481329974939934, 0.18223089303630569, 0.7897062722407407], 'specificity': [0.00012856775520699409, 0.7252213653241931, 0.7068493150684931], 'fit_time': [0.40924620628356934, 1.2262613773345947, 1.4192237854003906], 'score_time': [0.628584623336792, 0.9215574264526367, 0.7451121807098389]}",0.3092089200095453,0.2977231991046815,0.477399749382631,0.3375650245179218,0.3115606801545054,0.3494403188933663,0.5972862055144704,0.36099581662011554,0.675181810101968,0.053939933470555576,0.35558348834214853,0.3090387273777798,1.0182437896728516,0.4377725171533171,0.7650847434997559,0.1204365484108728
"{'contamination': 0.004888576455414295, 'n_bins': 195.19656372070312, 'n_random_cuts': 429.4212646484375}","{'f1_score': [0.1049482163406214, 0.2987152034261242, 0.9023784167554135], 'precision': [0.05538013116346854, 0.22284345047923323, 0.8538797447094391], 'recall': [1.0, 0.45292207792207795, 0.9567181031238239], 'roc_auc': [0.8016117772574919, 0.7164018768292547, 0.9617919968447265], 'pr_auc': [0.2311206285610561, 0.2853576171354192, 0.9851020900485732], 'specificity': [0.0, 0.7220794058840332, 0.702054794520548], 'fit_time': [0.5151772499084473, 0.9036314487457275, 1.009782075881958], 'score_time': [0.6833689212799072, 0.5553410053253174, 0.661113977432251]}",0.4353472788407197,0.3395830523425933,0.4747114001348604,0.3357711833263483,0.3773677754507136,0.34381073617537966,0.8032133936819673,0.24832282090308153,0.8266018836438244,0.10172661668479255,0.5005267785816828,0.34336116757221224,0.8095302581787109,0.2126025384274126,0.6332746346791586,0.0558513417899815
"{'contamination': 0.0002864660054910928, 'n_bins': 2918.735107421875, 'n_random_cuts': 252.0125274658203}","{'f1_score': [0.10612244897959183, 0.22705450437729455, 0.8497692702102205], 'precision': [0.05604138440694667, 0.17410134257254223, 0.778334376956794], 'recall': [0.9978070175438597, 0.3262987012987013, 0.9356417011667294], 'roc_auc': [0.6449271562165892, 0.6246154855570023, 0.6928926433664501], 'pr_auc': [0.16909542086624368, 0.18199171544629356, 0.7690881688308808], 'specificity': [0.014656724093597326, 0.7276492430734076, 0.5150684931506849], 'fit_time': [0.31385159492492676, 1.0186786651611328, 0.7470157146453857], 'score_time': [0.7087111473083496, 0.46674656867980957, 0.39989686012268066]}",0.3943154078557023,0.3258167235895201,0.4191248201058966,0.2988795457797759,0.33615903464542757,0.3163582499231381,0.7532491400030968,0.302964397768092,0.6541450950466805,0.028625983148654034,0.37339176838113936,0.2798491374534209,0.6931819915771484,0.2902514450598299,0.5251181920369467,0.13265745563294162
"{'contamination': 0.0010196807561442256, 'n_bins': 4274.13720703125, 'n_random_cuts': 625.8121337890625}","{'f1_score': [0.1049482163406214, 0.12167532864567411, 0.8627351296390442], 'precision': [0.05538013116346854, 0.09759686120647376, 0.7846794081381011], 'recall': [1.0, 0.16152597402597402, 0.9580353782461423], 'roc_auc': [0.7197606384178498, 0.6677532068759575, 0.8330730791241538], 'pr_auc': [0.12126342934945132, 0.1953850966358425, 0.8831155592968132], 'specificity': [0.0, 0.7372179377320766, 0.5215753424657534], 'fit_time': [0.6379098892211914, 0.9915652275085449, 1.9415011405944824], 'score_time': [1.199392557144165, 0.695202112197876, 0.8731212615966797]}",0.36311955820844655,0.35334755174233995,0.41959776006594335,0.3094857480968136,0.31255213350268113,0.33428898243374494,0.7065204507573721,0.3857499121801878,0.7401956414726536,0.06902104535298093,0.3999213617607023,0.34300726891204814,1.190325419108073,0.550434221312445,0.9225719769795736,0.208783829406868
"{'contamination': 0.0005690945545211434, 'n_bins': 243.51589965820312, 'n_random_cuts': 652.9154052734375}","{'f1_score': [0.10508123055651573, 0.294478527607362, 0.9463973587104292], 'precision': [0.055454213790587376, 0.18779342723004694, 0.9777287319422151], 'recall': [1.0, 0.6818181818181818, 0.9170116672939406], 'roc_auc': [0.9311006527633047, 0.7195659774387282, 0.9475067152675022], 'pr_auc': [0.4824720709474379, 0.5212158457397016, 0.9797082051997898], 'specificity': [0.001414245307276935, 0.4811482433590403, 0.961986301369863], 'fit_time': [0.4708213806152344, 1.2851951122283936, 1.0673587322235107], 'score_time': [1.058464765548706, 0.9178128242492676, 0.6914455890655518]}",0.4486523722914357,0.36035203867095916,0.4815162633453934,0.39215198609816976,0.4069921243209498,0.4071720547980639,0.8662766163707074,0.13476016077834774,0.8660577818231784,0.10380165793660497,0.6611320406289765,0.2258219792901419,0.9411250750223795,0.3442405610840235,0.8892410596211752,0.15119089098898678
"{'contamination': 0.004400303121656179, 'n_bins': 172.9231719970703, 'n_random_cuts': 905.6925048828125}","{'f1_score': [0.10451197053406998, 0.5966958211856171, 0.8828287017834924], 'precision': [0.05515063168124393, 0.7433414043583535, 0.9831408775981524], 'recall': [0.9956140350877193, 0.49837662337662336, 0.801091456529921], 'roc_auc': [0.8294543088242591, 0.6951950416764042, 0.9171190986847871], 'pr_auc': [0.3685632373287547, 0.47349339749156905, 0.9649433048743141], 'specificity': [0.0, 0.9697229363039132, 0.975], 'fit_time': [0.8402347564697266, 0.974165678024292, 1.7766227722167969], 'score_time': [1.21458101272583, 0.7848200798034668, 0.7151966094970703]}",0.5280121645010598,0.321436688486103,0.648240978767971,0.45838065459895955,0.59387763787925,0.3933158503855996,0.7650273716647545,0.20459182871294235,0.8139228163951501,0.0912633267439943,0.6023333132315459,0.2599578031877799,1.1970077355702717,0.4134808064607741,0.9048659006754557,0.22083847019734942
