params,fold_scores,mean_test_f1_score,std_test_f1_score,mean_test_specificity,std_test_specificity,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_roc_auc,std_test_roc_auc,mean_test_pr_auc,std_test_pr_auc,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'contamination': 0.0045011877082288265, 'n_components': 0.806117832660675}","{'f1_score': [0.15469613259668508, 0.3811291569992266, 0.9232016210739615], 'precision': [0.4827586206896552, 0.2354290082170839, 1.0], 'recall': [0.09210526315789473, 1.0, 0.8573579224689499], 'roc_auc': [0.7558926887803206, 0.5681745150736153, 0.9535190063981934], 'pr_auc': [0.41582876356874804, 0.16397655821888008, 0.9832653197737197], 'specificity': [0.9942144510156853, 0.4285918309054556, 1.0], 'fit_time': [0.5724391937255859, 0.03255128860473633, 0.17081546783447266], 'score_time': [0.009972810745239258, 0.007978200912475586, 0.007977962493896484]}",0.4863423035566244,0.3224412361049226,0.8076020939737137,0.26801113506415497,0.5727292096355797,0.3185521731474405,0.649821061875615,0.39864092002293827,0.7591954034173765,0.15733356325872289,0.521023547187116,0.34264459291215255,0.25860198338826496,0.22898266565943667,0.008642991383870443,0.0009403242932146254
"{'contamination': 0.002079433063045144, 'n_components': 0.6748982071876526}","{'f1_score': [0.1338432122370937, 0.3811291569992266, 0.923419773095624], 'precision': [0.5223880597014925, 0.2354290082170839, 1.0], 'recall': [0.07675438596491228, 1.0, 0.8577342867896124], 'roc_auc': [0.7465289525562426, 0.5681747469183202, 0.9535190063981934], 'pr_auc': [0.38909152210101206, 0.16397713686665055, 0.9832653197737197], 'specificity': [0.9958858318333762, 0.4285918309054556, 1.0], 'fit_time': [0.021944761276245117, 0.02917170524597168, 0.044341087341308594], 'score_time': [0.010967254638671875, 0.010968923568725586, 0.007976055145263672]}",0.47946404744398147,0.32975758709834363,0.8081592209129439,0.2683999307783671,0.5859390226395255,0.315352970533804,0.6448295575848415,0.4058669188679742,0.7560742352909188,0.15746086052389158,0.5121113262471274,0.34559965839287055,0.03181918462117513,0.009332942215070092,0.009970744450887045,0.0014104584989305356
"{'contamination': 0.002735292073339224, 'n_components': 0.7966111302375793}","{'f1_score': [0.13909774436090225, 0.3811291569992266, 0.9232016210739615], 'precision': [0.4868421052631579, 0.2354290082170839, 1.0], 'recall': [0.08114035087719298, 1.0, 0.8573579224689499], 'roc_auc': [0.7558926887803206, 0.5681745150736153, 0.9535190063981934], 'pr_auc': [0.41582876356874804, 0.16397655821888008, 0.9832653197737197], 'specificity': [0.9949858575469273, 0.4285918309054556, 1.0], 'fit_time': [0.11542510986328125, 0.0584714412689209, 0.046874046325683594], 'score_time': [0.006981372833251953, 0.006982326507568359, 0.010970592498779297]}",0.48114284081136344,0.32782797834775856,0.8078592294841277,0.2681903616520796,0.5740903711600805,0.31817332309659263,0.646166091115381,0.40375508741428695,0.7591954034173765,0.15733356325872289,0.521023547187116,0.34264459291215255,0.07359019915262859,0.029958245475923847,0.00831143061319987,0.0018803114418738235
"{'contamination': 0.0002904325083363801, 'n_components': 0.7422559261322021}","{'f1_score': [0.0875, 0.3811291569992266, 0.9088295687885011], 'precision': [0.875, 0.2354290082170839, 1.0], 'recall': [0.046052631578947366, 1.0, 0.8328942416258939], 'roc_auc': [0.7558926887803206, 0.5681747469183202, 0.9535190063981934], 'pr_auc': [0.41582876356874804, 0.16397713686665055, 0.9832653197737197], 'specificity': [0.9996142967343791, 0.4285918309054556, 1.0], 'fit_time': [0.13813090324401855, 0.46495962142944336, 0.11153364181518555], 'score_time': [0.013983726501464844, 0.013935565948486328, 0.007963180541992188]}",0.4591529085959092,0.33981499329438253,0.8094020425466115,0.26927352903616897,0.7034763360723613,0.3348705977282858,0.6263156244016138,0.41594065221702375,0.7591954806989447,0.15733346943009568,0.5210237400697061,0.34264439192216917,0.23820805549621582,0.16070481857276206,0.011960824330647787,0.0028268294083004394
"{'contamination': 0.001634997664950788, 'n_components': 0.5775597095489502}","{'f1_score': [0.1343570057581574, 0.3811291569992266, 0.9187099399735477], 'precision': [0.5384615384615384, 0.2354290082170839, 1.0], 'recall': [0.07675438596491228, 1.0, 0.8496424538953707], 'roc_auc': [0.7465289525562426, 0.5681140036056488, 0.9535190063981934], 'pr_auc': [0.38909152210101206, 0.1639622204717664, 0.9832653197737197], 'specificity': [0.9961429673437902, 0.4285918309054556, 1.0], 'fit_time': [0.061928749084472656, 0.08886218070983887, 0.09525704383850098], 'score_time': [0.008603811264038086, 0.010970592498779297, 0.009974002838134766]}",0.47806536757697726,0.327464861263977,0.8082449327497486,0.2684599007675977,0.5912968488928741,0.3143627181990677,0.6421322799534277,0.40446752665351526,0.7560539875200284,0.15748502312426693,0.5121063541154993,0.34560466702395765,0.0820159912109375,0.014441757529100544,0.009849468866984049,0.0009702387629715028
"{'contamination': 0.000633705873042345, 'n_components': 0.7279219627380371}","{'f1_score': [0.09795918367346938, 0.3811291569992266, 0.923419773095624], 'precision': [0.7058823529411765, 0.2354290082170839, 1.0], 'recall': [0.05263157894736842, 1.0, 0.8577342867896124], 'roc_auc': [0.7558926887803206, 0.5681747469183202, 0.9535190063981934], 'pr_auc': [0.41582876356874804, 0.16397713686665055, 0.9832653197737197], 'specificity': [0.99871432244793, 0.4285918309054556, 1.0], 'fit_time': [0.4627377986907959, 0.46675848960876465, 0.5426034927368164], 'score_time': [0.0069811344146728516, 0.013955831527709961, 0.01795196533203125]}",0.46750270458944,0.3424826890659652,0.8091020511177952,0.2690618689771609,0.6471037870527535,0.31488981165364577,0.636788621912327,0.417124658763611,0.7591954806989447,0.15733346943009568,0.5210237400697061,0.34264439192216917,0.49069992701212567,0.036738051028576434,0.012962977091471354,0.004533512450112367
"{'contamination': 0.00415786961093545, 'n_components': 0.703961968421936}","{'f1_score': [0.1350844277673546, 0.3811291569992266, 0.923419773095624], 'precision': [0.4675324675324675, 0.2354290082170839, 1.0], 'recall': [0.07894736842105263, 1.0, 0.8577342867896124], 'roc_auc': [0.7465289525562426, 0.5681747469183202, 0.9535190063981934], 'pr_auc': [0.38909152210101206, 0.16397713686665055, 0.9832653197737197], 'specificity': [0.9947287220365132, 0.4285918309054556, 1.0], 'fit_time': [0.6251993179321289, 0.38957929611206055, 0.498476505279541], 'score_time': [0.013525247573852539, 0.011966943740844727, 0.02622509002685547]}",0.4798777859540684,0.32932417966071686,0.807773517647323,0.2681305779692024,0.5676538252498505,0.320062926180001,0.6455605517368883,0.4048438035582725,0.7560742352909188,0.15746086052389158,0.5121113262471274,0.34559965839287055,0.5044183731079102,0.09628318654050225,0.017239093780517578,0.006385826707816339
"{'contamination': 0.002296718303114176, 'n_components': 0.8818754553794861}","{'f1_score': [0.13926499032882012, 0.3811291569992266, 0.9188199389623601], 'precision': [0.5901639344262295, 0.2354290082170839, 1.0], 'recall': [0.07894736842105263, 1.0, 0.849830636055702], 'roc_auc': [0.7656711687936737, 0.5681590974007427, 0.9535190063981934], 'pr_auc': [0.4626803097530624, 0.1639731605143848, 0.9832653197737197], 'specificity': [0.9967858061198251, 0.4285918309054556, 1.0], 'fit_time': [0.2756209373474121, 0.029920578002929688, 0.04387784004211426], 'score_time': [0.006982564926147461, 0.007979631423950195, 0.008973836898803711]}",0.47973802876346894,0.32580082021353973,0.8084592123417602,0.2686100064778315,0.6085309808811045,0.31240487796616817,0.6429260014922515,0.4034779080176941,0.7624497575308699,0.15733901398683456,0.536639596680389,0.3385384199250801,0.11647311846415202,0.11267866548251813,0.007978677749633789,0.0008129336583808073
"{'contamination': 0.004725373350083828, 'n_components': 0.5913094878196716}","{'f1_score': [0.1348314606741573, 0.3811291569992266, 0.9188199389623601], 'precision': [0.46153846153846156, 0.2354290082170839, 1.0], 'recall': [0.07894736842105263, 1.0, 0.849830636055702], 'roc_auc': [0.7465289525562426, 0.5681140036056488, 0.9535190063981934], 'pr_auc': [0.38909152210101206, 0.1639622204717664, 0.9832653197737197], 'specificity': [0.9946001542813062, 0.4285918309054556, 1.0], 'fit_time': [0.009971857070922852, 0.02792525291442871, 0.3687736988067627], 'score_time': [0.007979631423950195, 0.014960527420043945, 0.008975744247436523]}",0.478260185545248,0.32734824580963623,0.8077306617289205,0.26810070168015154,0.5656558232518485,0.32069977562261687,0.6429260014922515,0.4034779080176941,0.7560539875200284,0.15748502312426693,0.5121063541154993,0.34560466702395765,0.13555693626403809,0.1650719537126373,0.01063863436381022,0.0030829779847218537
"{'contamination': 0.0014744423096999526, 'n_components': 0.5086707472801208}","{'f1_score': [0.2517985611510791, 0.3811291569992266, 0.9187099399735477], 'precision': [0.7, 0.2354290082170839, 1.0], 'recall': [0.15350877192982457, 1.0, 0.8496424538953707], 'roc_auc': [0.8018880851524542, 0.5681140036056488, 0.9535190063981934], 'pr_auc': [0.5883698668622485, 0.1639622204717664, 0.9832653197737197], 'specificity': [0.9961429673437902, 0.4285918309054556, 1.0], 'fit_time': [0.05086183547973633, 0.14939141273498535, 0.048306941986083984], 'score_time': [0.008975982666015625, 0.011968851089477539, 0.006981372833251953]}",0.5172125527079511,0.2887694752352177,0.8082449327497486,0.2684599007675977,0.645143002739028,0.31453581458009483,0.6677170752750651,0.368745153495423,0.7745070317187656,0.15852769602340622,0.5785324690359115,0.33455141401429045,0.08285339673360188,0.04706104227660955,0.009308735529581705,0.0020496793554503957
