params,fold_scores,mean_test_f1_score,std_test_f1_score,mean_test_specificity,std_test_specificity,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_roc_auc,std_test_roc_auc,mean_test_pr_auc,std_test_pr_auc,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'nu': 0.0022639574017375708, 'eta0': 0.04597935080528259, 'learning_rate': 'optimal', 'kernel_type': 'sigmoid', 'gamma': 4.99605131149292}","{'f1_score': [0.4165931156222418, 0.25801640566741235, 0.11660464292043239], 'precision': [0.34859675036927623, 0.16747337850919652, 1.0], 'recall': [0.5175438596491229, 0.5616883116883117, 0.061911930748965], 'roc_auc': [0.5893261132388699, 0.5125245987231848, 0.061911930748965], 'pr_auc': [0.5266350998806566, 0.15755235017768449, 0.4895916573558461], 'specificity': [0.9433016199537156, 0.5087117966295345, 1.0], 'fit_time': [0.08573341369628906, 0.21291232109069824, 0.7511606216430664], 'score_time': [0.047396183013916016, 0.04442548751831055, 0.10678601264953613]}",0.2637380547366955,0.12253659015315953,0.81733780552775,0.21945566993708063,0.5053567096261576,0.35749630067306265,0.38038136736213324,0.22591188504074125,0.3879208809036732,0.23264564591341774,0.39125970247139574,0.16594657583215325,0.34993545214335126,0.2884208107396382,0.06620256106058757,0.02872244958316638
"{'nu': 0.0036305924877524376, 'eta0': 0.029335347935557365, 'learning_rate': 'constant', 'kernel_type': 'sigmoid', 'gamma': 1.5254451036453247}","{'f1_score': [0.2473655019412091, 0.3625310859353413, 0.22095748242383662], 'precision': [0.16555308092056423, 0.27482195224130707, 1.0], 'recall': [0.48903508771929827, 0.5324675324675324, 0.1242002258185924], 'roc_auc': [0.4868708638399805, 0.6333982266662215, 0.1242002258185924], 'pr_auc': [0.39927649594696746, 0.4042566057194273, 0.5428025189743815], 'specificity': [0.8554898431473387, 0.7527849185946872, 1.0], 'fit_time': [0.026931047439575195, 0.08291172981262207, 0.13504743576049805], 'score_time': [0.04957389831542969, 0.05507087707519531, 0.06003165245056152]}",0.27695135676679566,0.06146686590963023,0.8694249205806752,0.10140500942873802,0.48012501105395716,0.37030386140633514,0.38190094866847435,0.18308257013747622,0.4148231054415981,0.21403085546166667,0.44877854021359204,0.06651607229255933,0.08163007100423177,0.04414763370680992,0.05489214261372884,0.004271230493546603
"{'nu': 0.003147846320644021, 'eta0': 0.02248617634177208, 'learning_rate': 'invscaling', 'kernel_type': 'linear', 'gamma': 2.1415421962738037}","{'f1_score': [0.0, 0.16993788819875777, 0.45433391506689935], 'precision': [0.0, 0.12244897959183673, 1.0], 'recall': [0.0, 0.2775974025974026, 0.29394053443733537], 'roc_auc': [0.0010482783198675534, 0.3343349024582958, 0.34028303370265156], 'pr_auc': [0.02827954137296115, 0.1111967968435384, 0.6878524828289893], 'specificity': [0.12162509642581641, 0.6499571550985432, 1.0], 'fit_time': [0.025094032287597656, 0.061310529708862305, 0.08323168754577637], 'score_time': [0.04522109031677246, 0.03618311882019043, 0.030719995498657227]}",0.20809060108855237,0.1874327412178254,0.5905274171747865,0.3610489700114597,0.37414965986394555,0.4453574776417118,0.190512645678246,0.13487790926631396,0.22522207149360496,0.15853340810010408,0.2757762736818296,0.2933415749855601,0.056545416514078774,0.023972574156718253,0.03737473487854004,0.005979710101885075
"{'nu': 0.0038580179680138826, 'eta0': 0.092458575963974, 'learning_rate': 'constant', 'kernel_type': 'linear', 'gamma': 6.892214775085449}","{'f1_score': [0.0, 0.16363636363636364, 0.08986340762041696], 'precision': [0.0, 0.112568639414277, 1.0], 'recall': [0.0, 0.299512987012987, 0.04704554008280015], 'roc_auc': [0.14425217550175257, 0.31023325432065796, 0.9330573543134959], 'pr_auc': [0.07308798008420052, 0.10663366836964396, 0.9756554638075057], 'specificity': [1.0, 0.5845472722079406, 1.0], 'fit_time': [0.029285192489624023, 0.05585217475891113, 0.08921670913696289], 'score_time': [0.034566402435302734, 0.04259800910949707, 0.037552833557128906]}",0.08449992375226019,0.06691183301148879,0.8615157574026467,0.1958462940561427,0.37085621313809236,0.44723920002246487,0.11551950903192905,0.13151304286418422,0.4625142613786355,0.3395541501861919,0.3851257040871167,0.4177921142842863,0.05811802546183268,0.02451934245269112,0.038239081700642906,0.00331460191959739
"{'nu': 0.0019254342187196016, 'eta0': 0.07230871915817261, 'learning_rate': 'constant', 'kernel_type': 'rbf', 'gamma': 7.321554183959961}","{'f1_score': [0.0, 0.0, 0.0], 'precision': [0.0, 0.0, 0.0], 'recall': [0.0, 0.0, 0.0], 'roc_auc': [0.5, 0.5818337617823479, 0.9998287671232876], 'pr_auc': [0.05538013116346854, 0.17403588077412063, 0.9998118532455316], 'specificity': [1.0, 1.0, 1.0], 'fit_time': [0.10431981086730957, 0.10982608795166016, 0.1833336353302002], 'score_time': [0.9933524131774902, 0.10880184173583984, 0.3448913097381592]}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6938875096352118,0.2188975877998679,0.4097426217277069,0.4200444978149685,0.1324931780497233,0.036019844939499744,0.4823485215504964,0.3739681734843701
"{'nu': 0.004582410678267479, 'eta0': 0.09070134162902832, 'learning_rate': 'invscaling', 'kernel_type': 'rbf', 'gamma': 3.7934861183166504}","{'f1_score': [0.0, 0.0, 0.0], 'precision': [0.0, 0.0, 0.0], 'recall': [0.0, 0.0, 0.0], 'roc_auc': [0.5183209051169966, 0.5842616395315624, 1.0], 'pr_auc': [0.057365706378160776, 0.17467744222316745, 1.0], 'specificity': [1.0, 1.0, 1.0], 'fit_time': [0.05459904670715332, 0.09487509727478027, 0.16840600967407227], 'score_time': [0.08627128601074219, 0.15760016441345215, 0.13413596153259277]}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7008608482161863,0.2132294839075774,0.41068104953377604,0.4194545107443722,0.10596005121866862,0.04711803163610869,0.12600247065226236,0.029682401957753343
"{'nu': 0.001884485362097621, 'eta0': 0.056713178753852844, 'learning_rate': 'invscaling', 'kernel_type': 'sigmoid', 'gamma': 5.514686584472656}","{'f1_score': [0.38913234005258546, 0.3058553386911596, 0.5964078182778658], 'precision': [0.32408759124087594, 0.2132564841498559, 1.0], 'recall': [0.4868421052631579, 0.5405844155844156, 0.424915318027851], 'roc_auc': [0.5592274431256852, 0.6189152357211484, 0.424915318027851], 'pr_auc': [0.5001001414299542, 0.4039103676640068, 0.7453480767646434], 'specificity': [0.9404731293391617, 0.6491002570694088, 1.0], 'fit_time': [0.07379627227783203, 0.12786173820495605, 1.798677682876587], 'score_time': [0.05267214775085449, 0.060606956481933594, 0.05283975601196289]}",0.4304651656738703,0.12216515516266081,0.8631911288028569,0.15332327090684097,0.512448025130244,0.34770780810359025,0.4841139462918081,0.047261098667700854,0.5343526656248949,0.08112976409447156,0.5497861952862014,0.143750838281213,0.666778564453125,0.8006778292452534,0.05537295341491699,0.0037016315512174124
"{'nu': 0.004952259827405214, 'eta0': 0.013637279160320759, 'learning_rate': 'optimal', 'kernel_type': 'sigmoid', 'gamma': 3.563901662826538}","{'f1_score': [0.2545141874462597, 0.26193572357421513, 0.16156374329700743], 'precision': [0.20933521923620935, 0.16983859311009394, 1.0], 'recall': [0.32456140350877194, 0.5722402597402597, 0.08788106887467068], 'roc_auc': [0.3664288163195337, 0.6533926299350464, 0.08788106887467068], 'pr_auc': [0.3381686680084738, 0.6111111634066383, 0.5124046619991804], 'specificity': [0.9281306248392903, 0.5078548986003999, 1.0], 'fit_time': [0.06084418296813965, 0.1525249481201172, 0.4763295650482178], 'score_time': [0.0630793571472168, 0.05734562873840332, 0.051053762435913086]}",0.22600455143916073,0.04566715168940725,0.8119951744798968,0.21705188677754766,0.4597246041154344,0.3823725263993258,0.3282275773745675,0.19775580407344595,0.3692341717097503,0.23087765004779023,0.48722816447143086,0.11284146244286819,0.22989956537882486,0.17822672681635182,0.0571595827738444,0.0049111907494232285
"{'nu': 0.0028427138458937407, 'eta0': 0.09308098256587982, 'learning_rate': 'optimal', 'kernel_type': 'poly', 'gamma': 8.908581733703613}","{'f1_score': [0.35800344234079173, 0.22993197278911565, 0.8491608012994044], 'precision': [0.832, 0.14543889845094665, 1.0], 'recall': [0.22807017543859648, 0.5487012987012987, 0.7378622506586375], 'roc_auc': [0.4089585222377105, 0.3340506608501467, 0.77265075195529], 'pr_auc': [0.24987147619910532, 0.11039629828921027, 0.9126901357527271], 'specificity': [0.9973000771406532, 0.43273350471293914, 1.0], 'fit_time': [0.07333016395568848, 0.13985061645507812, 0.20184755325317383], 'score_time': [0.14027190208435059, 0.10386538505554199, 0.10090017318725586]}",0.4790320721431039,0.2668920286538172,0.8100111939511975,0.26677788950558534,0.6591462994836489,0.3696642354054376,0.5048779082661775,0.21041602782933116,0.5052199783477157,0.1915588872534568,0.4243193034136809,0.3499932225276168,0.13834277788798013,0.05247783672382512,0.11501248677571614,0.017902079332794706
"{'nu': 0.002099702600389719, 'eta0': 0.03778079152107239, 'learning_rate': 'adaptive', 'kernel_type': 'sigmoid', 'gamma': 8.028900146484375}","{'f1_score': [0.5396290050590219, 0.2814152094347296, 0.11192041215135903], 'precision': [0.4383561643835616, 0.18773738469886056, 1.0], 'recall': [0.7017543859649122, 0.5616883116883117, 0.05927738050432819], 'roc_auc': [0.7932106075164769, 0.5559163059163059, 0.05927738050432819], 'pr_auc': [0.7272136780298148, 0.16545617797914622, 0.4874242278173819], 'specificity': [0.9472872203651325, 0.572407883461868, 1.0], 'fit_time': [0.3287026882171631, 0.6566462516784668, 1.759314775466919], 'score_time': [0.08357071876525879, 0.07983207702636719, 0.04762387275695801]}",0.31098820888170353,0.1758590000236577,0.8398983679423334,0.19036461287032688,0.5420311830274741,0.33961156357626515,0.4409066927191841,0.2758445519333942,0.46946809797903705,0.30579891532376907,0.46003136127544764,0.23015306366102303,0.9148879051208496,0.6119255399832932,0.070342222849528,0.01613664429612255
