trial,roc_auc_mean,roc_auc_std,value,kernel,nu,gamma
0,0.6535135044205669,0.20850535950118873,44.50081449193781,linear,0.003416007795980925,0.07691148751957769
1,0.7718438021335334,0.1614700865043741,61.03737156291593,linear,0.004318407797348489,0.054610383598508186
2,0.21956174812191356,0.060473828476959965,15.90879196449536,sigmoid,0.0018189372666048886,0.08859386790058335
3,0.17070497922546435,0.059733836924572056,11.097114230089229,sigmoid,0.0001489883393206491,0.0656409070326326
4,0.8014880829287963,0.1803186446244237,62.11694383043726,poly,0.0040316068895954365,0.06889814714080406
5,0.8570525706275348,0.1166382821028173,74.04142885247175,rbf,0.004863810155136337,0.06774816866628679
6,0.5722408067510493,0.2443699459104921,32.787086084055716,linear,0.001462650114671834,0.015401828709772948
7,0.8085898529772427,0.16598534234387666,64.2604510633366,poly,0.004842668177661164,0.01417802831792674
8,0.32217181005167,0.15587514740346872,16.629666264820127,sigmoid,0.0029985173273257846,0.04005147225863941
9,0.19073600071913532,0.23010018227279075,-3.9364181553655424,linear,0.004496882649269635,0.017448750054365622
10,0.8552621142646338,0.11666869102558512,73.85934232390487,rbf,0.002160284902560142,0.09935075045355679
11,0.8552518701964192,0.11666902309671394,73.85828470997053,rbf,0.002045828050275183,0.09980931473850849
12,0.8464832538817205,0.13118479384917422,71.52984600325463,rbf,0.000834237728056576,0.04091593600503838
13,0.8560438588463676,0.11664865504227971,73.93952038040878,rbf,0.0025504401945274165,0.08663397996024924
14,0.8565284314676008,0.11664149467522157,73.98869367923793,rbf,0.003508671141236084,0.0777651395406892
15,0.8575778375747949,0.1166397884423121,74.09380491324828,rbf,0.003698921067869862,0.057180700520161165
16,0.8577933389364101,0.11664177505641668,74.11515638799933,rbf,0.0038943807519314978,0.05285745965789223
17,0.8578925842211312,0.11664295774598897,74.12496264751422,rbf,0.0037317724852579492,0.05061494162439227
18,0.8467894946662896,0.13132384300809238,71.54656516581971,rbf,0.0030013195082029534,0.03551478596759809
