params,fold_scores,mean_test_f1_score,std_test_f1_score,mean_test_specificity,std_test_specificity,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_roc_auc,std_test_roc_auc,mean_test_pr_auc,std_test_pr_auc,mean_fit_time,std_fit_time,mean_score_time,std_score_time,roc_auc_adjusted
"{'n_estimators': 47.45071029663086, 'contamination': 0.0005739806219935417, 'max_samples': 0.5645691156387329, 'max_features': 0.8804646134376526}","{'f1_score': [0.15156828365478278, 0.29888403687530324, 0.8943631103708249], 'precision': [0.083172974128715, 0.17569880205362237, 0.8371902182832759], 'recall': [0.8530701754385965, 1.0, 0.9599171998494542], 'roc_auc': [0.7354168640294487, 0.6640392865489266, 0.9747897128804244], 'pr_auc': [0.17382856274813788, 0.20915085678185458, 0.9893468383136576], 'specificity': [0.44870146567240937, 0.17452156526706655, 0.6602739726027397], 'fit_time': [0.37688755989074707, 0.23869633674621582, 0.3250765800476074], 'score_time': [0.09788656234741211, 0.04328560829162598, 0.08142733573913574]}",0.44827181030030366,0.32111635356018875,0.4278323345140718,0.19885587877418215,0.36535399815520436,0.3357700812330334,0.9376624584293504,0.062013699955025904,0.7914152878195999,0.13289927129606574,0.4574420859478834,0.37638979379177534,0.3135534922281901,0.057001694145676705,0.07419983545939128,0.022869100203415624,0.6585160165235342
"{'n_estimators': 139.65487670898438, 'contamination': 0.0007775537669658661, 'max_samples': 0.6108814477920532, 'max_features': 0.8525878190994263}","{'f1_score': [0.12254366812227074, 0.2981246218995765, 0.8820391227030231], 'precision': [0.06533760186263096, 0.17517417887103653, 0.8018475750577367], 'recall': [0.9846491228070176, 1.0, 0.9800526910048928], 'roc_auc': [0.6404763435330418, 0.6748611018373228, 0.9829345203417181], 'pr_auc': [0.08666476237288916, 0.21272323968128967, 0.9925500158897645], 'specificity': [0.17420930830547698, 0.1715224221650957, 0.5592465753424658], 'fit_time': [0.6217010021209717, 0.8262708187103271, 1.2214021682739258], 'score_time': [0.14125585556030273, 0.11669301986694336, 0.16893577575683594]}",0.43423580424162345,0.3246567693745898,0.30165943527101285,0.18214491645742883,0.34745311859713474,0.32441923489915053,0.9882339379373034,0.008528851375393066,0.7660906552373609,0.15397299390035568,0.4306460059813144,0.40064512326057733,0.8897913297017416,0.24891298835638806,0.14229488372802734,0.021340666506191416,0.6121176613370052
"{'n_estimators': 169.26268005371094, 'contamination': 0.0008356425678357482, 'max_samples': 0.9199835062026978, 'max_features': 0.8039223551750183}","{'f1_score': [0.11907270811380401, 0.2981246218995765, 0.8844095015055202], 'precision': [0.0633408071748879, 0.17517417887103653, 0.795995182174044], 'recall': [0.9912280701754386, 1.0, 0.9949190816710576], 'roc_auc': [0.611828853762073, 0.6678866335036002, 0.9899244564628972], 'pr_auc': [0.08001617676759161, 0.2001354549535127, 0.9953316525247021], 'specificity': [0.14065312419645154, 0.1715224221650957, 0.535958904109589], 'fit_time': [0.7160348892211914, 1.1073009967803955, 1.9048614501953125], 'score_time': [0.17768478393554688, 0.2279057502746582, 0.2830483913421631]}",0.43386894383963354,0.32685877942826524,0.2827114834903787,0.1795158682437881,0.3448367227399895,0.32226763452697127,0.995382383948832,0.0035960788795761827,0.7565466479095234,0.16660236055004096,0.42516109474860214,0.40614283937551526,1.2427324453989665,0.4946941182694497,0.22954630851745605,0.04303015233488332,0.5899442873594825
"{'n_estimators': 89.07141876220703, 'contamination': 0.0003601190692279488, 'max_samples': 0.4261360168457031, 'max_features': 0.33097630739212036}","{'f1_score': [0.1513747296879827, 0.3072890664003994, 0.9794625719769674], 'precision': [0.08809780654440849, 0.18156342182890856, 0.999412455934195], 'recall': [0.5372807017543859, 0.9991883116883117, 0.9602935641701167], 'roc_auc': [0.6958512651518227, 0.7104554079168475, 0.9928114414753482], 'pr_auc': [0.11149483993433554, 0.2666619785505009, 0.9966520895820594], 'specificity': [0.673952172795063, 0.20751213938874608, 0.998972602739726], 'fit_time': [0.2690773010253906, 0.38662123680114746, 0.607119083404541], 'score_time': [0.0675504207611084, 0.06862092018127441, 0.16904258728027344]}",0.47937545602178316,0.3592980775126215,0.6268123049745117,0.32482717621892543,0.4230245614358374,0.40935006127870144,0.8322541925376047,0.20918129384938527,0.7997060381813395,0.136676242345385,0.4582696360222986,0.3859282834520364,0.42093920707702637,0.14012221801320518,0.10173797607421875,0.047593553551230586,0.6630297958359544
"{'n_estimators': 71.90151977539062, 'contamination': 0.00044648724724538624, 'max_samples': 0.4255237877368927, 'max_features': 0.9587499499320984}","{'f1_score': [0.12632052146549785, 0.30801951707744274, 0.977163692189599], 'precision': [0.07037315301778112, 0.18207365774293743, 0.9968676585747847], 'recall': [0.6162280701754386, 0.9991883116883117, 0.9582235604064735], 'roc_auc': [0.6015487903353137, 0.7498186974408054, 0.9912445027608644], 'pr_auc': [0.07381996269463006, 0.37288048915621486, 0.9958998222114284], 'specificity': [0.5227564926716379, 0.21022564981433875, 0.9945205479452055], 'fit_time': [0.22525691986083984, 0.4083738327026367, 0.970597505569458], 'score_time': [0.06221413612365723, 0.08691930770874023, 0.07232069969177246]}",0.47050124357751316,0.3658631427886601,0.5758342301437275,0.3223792347219795,0.41643815644516774,0.4129512125306409,0.8578799807567412,0.17169015139215402,0.7808706635123279,0.16060065487287528,0.4808667580207578,0.38410379893035307,0.5347427527109782,0.31713296384342476,0.07381804784138997,0.010141266008179007,0.6202700086394526
"{'n_estimators': 80.20159912109375, 'contamination': 0.0006901354645378888, 'max_samples': 0.969207763671875, 'max_features': 0.9778311252593994}","{'f1_score': [0.12336290663286861, 0.29942884919188234, 0.9304869442484122], 'precision': [0.06591422121896162, 0.17607546091181936, 0.8757887744935238], 'recall': [0.9605263157894737, 1.0, 0.9924727135867519], 'roc_auc': [0.5904338823402038, 0.6567638837883054, 0.9940085893555921], 'pr_auc': [0.0751037764880924, 0.19396642062008607, 0.9970969121357383], 'specificity': [0.20197994343018771, 0.1766638103399029, 0.7438356164383562], 'fit_time': [0.2801089286804199, 0.6436753273010254, 1.0888705253601074], 'score_time': [0.06905078887939453, 0.08406901359558105, 0.10720443725585938]}",0.4510929000243877,0.34651963990554024,0.37415979006948225,0.26160452225932385,0.37259281887476825,0.35864420809113057,0.9843330097920752,0.01711206240612929,0.7470687851613671,0.17670006120473933,0.42205570308130563,0.40950081491624246,0.670884927113851,0.33073564650885956,0.08677474657694499,0.015693224957149716,0.5703687239566277
"{'n_estimators': 219.74569702148438, 'contamination': 0.00018836170784197748, 'max_samples': 0.9792901277542114, 'max_features': 0.5836796760559082}","{'f1_score': [0.1197841253126234, 0.29819678083020695, 0.9020316804407713], 'precision': [0.06371656630723989, 0.17522400796472765, 0.8313233894001905], 'recall': [0.9978070175438597, 1.0, 0.98588633797516], 'roc_auc': [0.687839182038408, 0.6477865090493625, 0.9863922386459133], 'pr_auc': [0.10892708968516565, 0.18364916960965333, 0.9936307052708858], 'specificity': [0.14039598868603753, 0.17180805484147388, 0.635958904109589], 'fit_time': [1.3665916919708252, 1.8116545677185059, 2.19588303565979], 'score_time': [0.2540760040283203, 0.2141094207763672, 0.27486586570739746]}",0.44000419552786724,0.33472358399473123,0.3160543158790335,0.2265699136444192,0.35675465455738603,0.3386444452558608,0.9945644518396732,0.006201319117592498,0.7740059765778945,0.1510673081550311,0.42873565485523496,0.4006042609152129,1.7913764317830403,0.33886028121447054,0.24768376350402832,0.02521219221401462,0.6229386684228634
"{'n_estimators': 199.28829956054688, 'contamination': 0.00029801286291331053, 'max_samples': 0.7060050964355469, 'max_features': 0.9097830653190613}","{'f1_score': [0.13178294573643412, 0.29806295399515736, 0.8940955951265229], 'precision': [0.0706973768394114, 0.17515651678998292, 0.8169079869219991], 'recall': [0.9692982456140351, 0.9991883116883117, 0.9873917952578095], 'roc_auc': [0.648215784060305, 0.6543306736108793, 0.987425049365594], 'pr_auc': [0.08758276792576618, 0.19782211509734918, 0.9941910156484258], 'specificity': [0.25302134224736433, 0.17209368751785203, 0.5972602739726027], 'fit_time': [0.8516502380371094, 1.6367504596710205, 2.21962308883667], 'score_time': [0.18852829933166504, 0.20256471633911133, 0.35678863525390625]}",0.4413138316193715,0.3272825021395785,0.3407917679126064,0.18433554961082896,0.3542539601837978,0.32991361427158217,0.9852927841867188,0.012292501727708537,0.7633238356789261,0.15848315041970473,0.4265319662238471,0.4039106961622553,1.5693412621815999,0.5605030062725177,0.24929388364156088,0.07622596438113723,0.6048406852592214
"{'n_estimators': 147.90072631835938, 'contamination': 0.0009119465830735862, 'max_samples': 0.6451173424720764, 'max_features': 0.6310893893241882}","{'f1_score': [0.11459683691988592, 0.2981246218995765, 0.9010875194199897], 'precision': [0.060898319096169745, 0.17517417887103653, 0.8322704081632653], 'recall': [0.9692982456140351, 1.0, 0.9823108769288671], 'roc_auc': [0.5029404235066968, 0.6415171963854484, 0.9877401255922582], 'pr_auc': [0.05164721401417603, 0.18561072559974337, 0.9945655463500137], 'specificity': [0.12368218050912831, 0.1715224221650957, 0.6397260273972603], 'fit_time': [0.7815027236938477, 2.377880811691284, 1.585003137588501], 'score_time': [0.30334019660949707, 0.33510422706604004, 0.15442609786987305]}",0.4379363260798173,0.3359587106418556,0.31164354335716143,0.23281002187887964,0.3561143020434905,0.33991000875543603,0.9838697075143008,0.012582312855475373,0.7107325818281346,0.20388029980366257,0.41060782865464435,0.4165265238861927,1.5814622243245442,0.6517234349577254,0.26429017384847003,0.0787605011016912,0.5068522820244721
"{'n_estimators': 78.44326782226562, 'contamination': 0.0007294018287211657, 'max_samples': 0.7537784576416016, 'max_features': 0.928768515586853}","{'f1_score': [0.11185859385305369, 0.30230844793713163, 0.9233480176211454], 'precision': [0.05950877192982456, 0.17809606481481483, 0.8681245858184228], 'recall': [0.9298245614035088, 0.9991883116883117, 0.9860745201354911], 'roc_auc': [0.47617690246444083, 0.6845365609825764, 0.9912652543552569], 'pr_auc': [0.04869350745430688, 0.22735168078014373, 0.9957724331276521], 'specificity': [0.13846747235793264, 0.18866038274778635, 0.7273972602739726], 'fit_time': [0.3624093532562256, 0.7048976421356201, 1.1007847785949707], 'score_time': [0.11916685104370117, 0.11729574203491211, 0.08590555191040039]}",0.44583835313711023,0.34648655239600423,0.3515083717932305,0.2665822880160605,0.36857647418768735,0.3565360882938527,0.9716957977424371,0.03008757447447375,0.7173262392674248,0.21155830530441985,0.4239392071207009,0.41087274144854863,0.7226972579956055,0.30170315093881656,0.10745604832967122,0.01525763599357049,0.5057679339630049
