params,fold_scores,mean_test_f1_score,std_test_f1_score,mean_test_specificity,std_test_specificity,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_roc_auc,std_test_roc_auc,mean_test_pr_auc,std_test_pr_auc,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'n_neighbors': 10.998056411743164, 'contamination': 0.004604747518897057}","{'f1_score': [0.1049482163406214, 0.2981246218995765, 0.985808366570819], 'precision': [0.05538013116346854, 0.17517417887103653, 0.9720139015913664], 'recall': [1.0, 1.0, 1.0], 'roc_auc': [0.8133847491575428, 0.566155727306113, 0.9988593067678554], 'pr_auc': [0.5273111831690752, 0.1635289397474053, 0.9991065441444918], 'specificity': [0.0, 0.1715224221650957, 0.9476027397260274], 'fit_time': [0.11805891990661621, 1.056169033050537, 1.9900414943695068], 'score_time': [0.46953320503234863, 1.3934071063995361, 2.1162075996398926]}",0.46296040160367236,0.37802713903359236,0.3730417206303744,0.4122663045690425,0.4008560705419571,0.40681986549605287,1.0,0.0,0.792799927743837,0.1772491618677443,0.5633155556869908,0.3420718436944693,1.05475648244222,0.7642343385147402,1.3263826370239258,0.6739205443202445
"{'n_neighbors': 23.33647918701172, 'contamination': 0.0032524100970476866}","{'f1_score': [0.1049482163406214, 0.2981246218995765, 0.9930841121495327], 'precision': [0.05538013116346854, 0.17517417887103653, 0.9864463423691051], 'recall': [1.0, 1.0, 0.9998118178396688], 'roc_auc': [0.7780790849584749, 0.5645022108711055, 0.9992961858311723], 'pr_auc': [0.44500790992718386, 0.16275504539878718, 0.9994927460541096], 'specificity': [0.0, 0.1715224221650957, 0.975], 'fit_time': [0.15176844596862793, 1.0720396041870117, 1.9427242279052734], 'score_time': [0.5261917114257812, 1.623450517654419, 2.371612548828125]}",0.46538565012991023,0.381382162692118,0.38217414072169853,0.42499949795902714,0.4056668841345367,0.41357485239230063,0.9999372726132228,8.870992111236433e-05,0.780625827220251,0.17751303161083645,0.5357519004600269,0.34757095082669337,1.0555107593536377,0.7312480451240968,1.5070849259694417,0.757869922865324
"{'n_neighbors': 13.473114013671875, 'contamination': 0.0012747389264404774}","{'f1_score': [0.10549501507071644, 0.2981246218995765, 0.9748579134958096], 'precision': [0.05569155446756426, 0.17517417887103653, 0.998618511940004], 'recall': [0.9978070175438597, 1.0, 0.952201731275875], 'roc_auc': [0.8044168662850234, 0.5657225254750962, 0.9991549203190331], 'pr_auc': [0.5447094264671364, 0.1634334916194913, 0.9993628067497511], 'specificity': [0.008099768578040628, 0.1715224221650957, 0.9976027397260274], 'fit_time': [0.13351821899414062, 0.7706995010375977, 1.8697965145111084], 'score_time': [0.40845417976379395, 1.786588191986084, 2.19537615776062]}",0.45949251682203424,0.37280706397393526,0.39240831015638794,0.43310657973371064,0.40982808175953495,0.4191854421674347,0.9833362496065782,0.022033625314912132,0.789764770693051,0.1772510896138861,0.5691685749454596,0.34170468968760126,0.9246714115142822,0.7171453092099289,1.463472843170166,0.7644497739517605
"{'n_neighbors': 11.087393760681152, 'contamination': 0.001041265088133514}","{'f1_score': [0.10827947811242532, 0.2981246218995765, 0.844574780058651], 'precision': [0.05732730794060684, 0.17517417887103653, 0.9987156434626252], 'recall': [0.9736842105263158, 1.0, 0.731652239367708], 'roc_auc': [0.7900719753871694, 0.5661543362378838, 0.9989922587530483], 'pr_auc': [0.5109810925419149, 0.16337872231606884, 0.999231790785347], 'specificity': [0.06132681923373618, 0.1715224221650957, 0.9982876712328768], 'fit_time': [0.1520841121673584, 0.736854076385498, 2.0993824005126953], 'score_time': [0.3922841548919678, 1.3128151893615723, 2.330976724624634]}",0.41699296002355096,0.31212172227437973,0.41037897087723624,0.4181413219568596,0.41040571009142285,0.4187707443812543,0.9017788166313413,0.12077643095815525,0.7850728567927004,0.17674069552473773,0.5578638685477769,0.34284212501955746,0.9961068630218506,0.815843801015123,1.3453586896260579,0.7918023867696874
"{'n_neighbors': 7.262989521026611, 'contamination': 0.0033730054274201393}","{'f1_score': [0.1049482163406214, 0.2981246218995765, 0.9885592037949958], 'precision': [0.05538013116346854, 0.17517417887103653, 0.9773772300901232], 'recall': [1.0, 1.0, 1.0], 'roc_auc': [0.8467962945419605, 0.565762750531388, 0.9986216301215193], 'pr_auc': [0.5633235102150336, 0.16389632917873434, 0.9988880423462622], 'specificity': [0.0, 0.1715224221650957, 0.9578767123287671], 'fit_time': [0.23825836181640625, 1.0890467166900635, 1.6985747814178467], 'score_time': [0.7018735408782959, 1.6665804386138916, 1.2444648742675781]}",0.4638773473450646,0.3792954598392298,0.3764663781646209,0.4170399403981937,0.4026438467082094,0.4093299402248812,1.0,0.0,0.8037268917316226,0.17931895698974548,0.5753692939133433,0.34099033802860224,1.0086266199747722,0.5988775920036665,1.2043062845865886,0.39486232527176174
"{'n_neighbors': 22.17536735534668, 'contamination': 0.004023274872452021}","{'f1_score': [0.1049482163406214, 0.2981246218995765, 0.9879159695110615], 'precision': [0.05538013116346854, 0.17517417887103653, 0.976120499632623], 'recall': [1.0, 1.0, 1.0], 'roc_auc': [0.8246595210061667, 0.5644505095019234, 0.999275949804342], 'pr_auc': [0.5899447890458926, 0.1627539911531135, 0.999477429972701], 'specificity': [0.0, 0.1715224221650957, 0.9554794520547946], 'fit_time': [0.17366695404052734, 0.7193138599395752, 1.305471658706665], 'score_time': [0.5931775569915771, 0.9814438819885254, 1.6907401084899902]}",0.46366293591708646,0.37899886837169106,0.3756672914066301,0.4159259481790519,0.40222493655570934,0.4087417615529122,1.0,0.0,0.7961286601041441,0.17865944960810398,0.5840587367239024,0.3416162686177498,0.7328174908955892,0.46215598623036935,1.0884538491566975,0.45442215205535236
"{'n_neighbors': 21.704639434814453, 'contamination': 0.0005991073558107018}","{'f1_score': [0.12822067293119127, 0.2981246218995765, 0.5918664723804478], 'precision': [0.06887007489417128, 0.17517417887103653, 0.9995525727069351], 'recall': [0.9276315789473685, 1.0, 0.42039894617990214], 'roc_auc': [0.8355643786117389, 0.564912228231637, 0.9992723408314043], 'pr_auc': [0.6530400359630864, 0.1628747861235339, 0.9994742877235627], 'specificity': [0.26472100797120085, 0.1715224221650957, 0.9996575342465753], 'fit_time': [0.16515350341796875, 0.5151607990264893, 1.4062843322753906], 'score_time': [0.3609318733215332, 0.8787100315093994, 1.4601476192474365]}",0.33940392240373846,0.19151995948955247,0.47863365479429065,0.3703790007714586,0.4145322754907143,0.4159420646731125,0.7826768417090902,0.25786721684257796,0.7999163158915934,0.17910939885294536,0.605129703270061,0.3432163860729083,0.6955328782399496,0.5224952942722182,0.8999298413594564,0.4490037299551192
"{'n_neighbors': 15.05759048461914, 'contamination': 0.00302716763690114}","{'f1_score': [0.10537261698440208, 0.2981246218995765, 0.992064233031463], 'precision': [0.05561653860226857, 0.17517417887103653, 0.9844357976653697], 'recall': [1.0, 1.0, 0.9998118178396688], 'roc_auc': [0.8234677317490178, 0.565478508923239, 0.999140935548899], 'pr_auc': [0.5919678461464724, 0.16327095668246594, 0.9993646960660749], 'specificity': [0.004499871432244793, 0.1715224221650957, 0.9712328767123287], 'fit_time': [0.10440850257873535, 0.5743069648742676, 1.5692954063415527], 'score_time': [0.3076145648956299, 1.323157548904419, 1.1564216613769531]}",0.4651871573051472,0.3807780837041791,0.38241839010322304,0.421901258466864,0.4050755050462249,0.41256697947885973,0.9999372726132228,8.870992111236433e-05,0.7960290587403853,0.1781019102444253,0.5848678329650044,0.3413707592432792,0.7493369579315186,0.6107099879409045,0.9290645917256674,0.44467240071216746
"{'n_neighbors': 12.223938941955566, 'contamination': 0.0031573486048728228}","{'f1_score': [0.1049482163406214, 0.2981246218995765, 0.9890191699236925], 'precision': [0.05538013116346854, 0.17517417887103653, 0.9782768777614138], 'recall': [1.0, 1.0, 1.0], 'roc_auc': [0.7959192707276033, 0.566104373703988, 0.9991622671567997], 'pr_auc': [0.5263308230109017, 0.1634809782662977, 0.9993620659381797], 'specificity': [0.0, 0.1715224221650957, 0.9595890410958904], 'fit_time': [0.10798954963684082, 0.7269704341888428, 1.3885087966918945], 'score_time': [0.3233523368835449, 1.3950395584106445, 1.5700862407684326]}",0.46403066938796345,0.37950755388813573,0.37703715442032865,0.4178357020235646,0.40294372926530625,0.4097510034849407,1.0,0.0,0.7870619705294638,0.1769060458653061,0.5630579557384597,0.34223379912049684,0.741156260172526,0.5228660209293517,1.0961593786875408,0.551110018143685
"{'n_neighbors': 8.65944766998291, 'contamination': 0.0025139288045465946}","{'f1_score': [0.10498445953723955, 0.2981246218995765, 0.9941991017964071], 'precision': [0.05540031587899405, 0.17517417887103653, 0.98864905098623], 'recall': [1.0, 1.0, 0.9998118178396688], 'roc_auc': [0.8340872591610164, 0.5660374865066382, 0.9986768602966576], 'pr_auc': [0.5472960856016575, 0.16382415994562075, 0.9989381673568178], 'specificity': [0.0003857032656209823, 0.1715224221650957, 0.9791095890410959], 'fit_time': [0.11289143562316895, 0.6943399906158447, 1.6171748638153076], 'score_time': [0.36231517791748047, 0.9431107044219971, 1.8134629726409912]}",0.4657693944110744,0.3818850152553329,0.3836725714906042,0.42679493556897474,0.4064078485787535,0.4146002555873848,0.9999372726132228,8.870992111236433e-05,0.7996005353214374,0.17829976169220488,0.5700194709680321,0.34131228664814556,0.8081354300181071,0.619370222944209,1.039629618326823,0.5963468823253528
