params,fold_scores,mean_test_roc_auc,std_test_roc_auc,mean_fit_time,std_fit_time,mean_score_time,std_score_time,roc_auc_adjusted
"{'n_estimators': 85.15389251708984, 'contamination': 0.0046477774158120155, 'max_samples': 0.480367511510849, 'max_features': 0.7431749105453491}","{'roc_auc': [0.8503989361702128, 0.9268617021276596, 0.9294354838709677], 'fit_time': [0.23808741569519043, 0.1753067970275879, 0.13590192794799805], 'score_time': [0.007125139236450195, 0.002989530563354492, 0.002992868423461914]}",0.9022320407229468,0.036666598185965134,0.18309871355692545,0.04207932151649647,0.004369179407755534,0.001948758359975492,0.8655654425369816
"{'n_estimators': 91.67301940917969, 'contamination': 0.0018112997058779001, 'max_samples': 0.6448126435279846, 'max_features': 0.7405099868774414}","{'roc_auc': [0.8896276595744681, 0.9242021276595744, 0.9422043010752689], 'fit_time': [0.1559734344482422, 0.14749860763549805, 0.13898324966430664], 'score_time': [0.005049943923950195, 0.004794120788574219, 0.002039194107055664]}",0.9186780294364372,0.021816852106572464,0.14748509724934897,0.00693622047160023,0.003961086273193359,0.0013629902158720682,0.8968611773298647
"{'n_estimators': 222.17027282714844, 'contamination': 0.0021990754175931215, 'max_samples': 0.6029852628707886, 'max_features': 0.6605981588363647}","{'roc_auc': [0.8523936170212767, 0.9288563829787235, 0.9415322580645161], 'fit_time': [0.3562445640563965, 0.3505842685699463, 0.46999478340148926], 'score_time': [0.004992485046386719, 0.0069806575775146484, 0.007749319076538086]}",0.9075940860215055,0.039374173309260865,0.39227453867594403,0.05500507289573369,0.006574153900146484,0.0011615987251013256,0.8682199127122446
"{'n_estimators': 87.39315795898438, 'contamination': 0.0022616409696638584, 'max_samples': 0.8878828287124634, 'max_features': 0.756497859954834}","{'roc_auc': [0.8769946808510638, 0.9355053191489361, 0.9233870967741935], 'fit_time': [0.1424248218536377, 0.13662457466125488, 0.13485002517700195], 'score_time': [0.003991603851318359, 0.003425121307373047, 0.003040790557861328]}",0.9119623655913979,0.025215961353283998,0.1379664738972982,0.003234697960434962,0.0034858385721842446,0.00039053503422720523,0.8867464042381139
"{'n_estimators': 227.3557586669922, 'contamination': 0.0037582761142402887, 'max_samples': 0.8601371049880981, 'max_features': 0.7833418846130371}","{'roc_auc': [0.8623670212765958, 0.930186170212766, 0.9254032258064516], 'fit_time': [0.3726825714111328, 0.34766340255737305, 0.4551880359649658], 'score_time': [0.0059850215911865234, 0.007016658782958984, 0.011233806610107422]}",0.9059854724319378,0.030904650137605388,0.3918446699778239,0.045940368692969746,0.008078495661417643,0.00227054460589719,0.8750808222943325
"{'n_estimators': 215.3760528564453, 'contamination': 0.0019539736676961184, 'max_samples': 0.6407450437545776, 'max_features': 0.9240248799324036}","{'roc_auc': [0.8630319148936171, 0.9195478723404256, 0.9415322580645162], 'fit_time': [0.3968992233276367, 0.3401370048522949, 0.3250598907470703], 'score_time': [0.005029201507568359, 0.0069806575775146484, 0.00598454475402832]}",0.9080373484328529,0.03306503782907593,0.354032039642334,0.030930313289367163,0.005998134613037109,0.0007967365568088626,0.874972310603777
"{'n_estimators': 131.24636840820312, 'contamination': 0.0014457730576395988, 'max_samples': 0.3162766695022583, 'max_features': 0.5793859958648682}","{'roc_auc': [0.8211436170212766, 0.9235372340425532, 0.9227150537634409], 'fit_time': [0.23207545280456543, 0.20752716064453125, 0.2688601016998291], 'score_time': [0.003990650177001953, 0.002991914749145508, 0.003988742828369141]}",0.8891319682757569,0.048076195945116015,0.23615423838297525,0.02520462634080158,0.003657102584838867,0.0004703594739207546,0.8410557723306409
"{'n_estimators': 176.464111328125, 'contamination': 0.00045525215682573617, 'max_samples': 0.9152520298957825, 'max_features': 0.7967480421066284}","{'roc_auc': [0.8723404255319149, 0.9268617021276595, 0.9180107526881721], 'fit_time': [0.30487680435180664, 0.2600228786468506, 0.27787184715270996], 'score_time': [0.003989219665527344, 0.0049860477447509766, 0.004948854446411133]}",0.9057376267825822,0.0238902297327906,0.28092384338378906,0.018438269505430278,0.004641373952229817,0.0004613926351158043,0.8818473970497915
"{'n_estimators': 242.17591857910156, 'contamination': 0.004883080720901489, 'max_samples': 0.9679113626480103, 'max_features': 0.9261698722839355}","{'roc_auc': [0.8543882978723405, 0.9348404255319149, 0.9301075268817204], 'fit_time': [0.3813753128051758, 0.4550516605377197, 0.6046319007873535], 'score_time': [0.0066051483154296875, 0.00873708724975586, 0.006979942321777344]}",0.9064454167619919,0.03686061857616908,0.4803529580434163,0.09288341352098264,0.007440725962320964,0.0009293481864433901,0.8695847981858228
"{'n_estimators': 123.64251708984375, 'contamination': 0.004731009714305401, 'max_samples': 0.34123000502586365, 'max_features': 0.7186580300331116}","{'roc_auc': [0.8244680851063829, 0.9321808510638298, 0.9233870967741935], 'fit_time': [0.2107391357421875, 0.18459844589233398, 0.1992015838623047], 'score_time': [0.003989219665527344, 0.004312992095947266, 0.0029916763305664062]}",0.8933453443148021,0.048835712039957284,0.1981797218322754,0.010696325473821072,0.003764629364013672,0.0005623163051827107,0.8445096322748448
"{'n_estimators': 251.3402862548828, 'contamination': 0.004652865696698427, 'max_samples': 0.8250396847724915, 'max_features': 0.46840888261795044}","{'roc_auc': [0.858377659574468, 0.9315159574468085, 0.9227150537634409], 'fit_time': [0.43611836433410645, 0.49300432205200195, 0.3866283893585205], 'score_time': [0.010970592498779297, 0.005979299545288086, 0.008210420608520508]}",0.9042028902615725,0.032601920209866304,0.4385836919148763,0.043462766779259095,0.008386770884195963,0.00204149877976792,0.8716009700517062
"{'n_estimators': 98.86656188964844, 'contamination': 0.0028574508614838123, 'max_samples': 0.40643101930618286, 'max_features': 0.3820989727973938}","{'roc_auc': [0.8417553191489361, 0.9288563829787234, 0.9388440860215053], 'fit_time': [0.17120599746704102, 0.14910626411437988, 0.14669394493103027], 'score_time': [0.003990888595581055, 0.003987789154052734, 0.0030264854431152344]}",0.9031519293830549,0.04360501778616713,0.1556687355041504,0.011030554623052129,0.0036683877309163413,0.00045389522428835786,0.8595469115968878
"{'n_estimators': 160.72386169433594, 'contamination': 0.003356708912178874, 'max_samples': 0.3264680504798889, 'max_features': 0.8756254315376282}","{'roc_auc': [0.8430851063829787, 0.9188829787234045, 0.924731182795699], 'fit_time': [0.3034243583679199, 0.33409953117370605, 0.2557864189147949], 'score_time': [0.005023956298828125, 0.0077817440032958984, 0.004341602325439453]}",0.8955664226340274,0.03718661756868762,0.29777010281880695,0.032220219762132914,0.005715767542521159,0.0014871887996275202,0.8583798050653398
"{'n_estimators': 159.08648681640625, 'contamination': 0.004673882853239775, 'max_samples': 0.7959256172180176, 'max_features': 0.6965910196304321}","{'roc_auc': [0.8769946808510639, 0.9321808510638298, 0.9193548387096774], 'fit_time': [0.29784607887268066, 0.24114513397216797, 0.24350357055664062], 'score_time': [0.0049860477447509766, 0.003989219665527344, 0.004988193511962891]}",0.9095101235415237,0.023580601607319063,0.2608315944671631,0.026190896607224335,0.004654486974080403,0.0004704158408268909,0.8859295219342047
"{'n_estimators': 35.067474365234375, 'contamination': 0.004974944982677698, 'max_samples': 0.8832241296768188, 'max_features': 0.7252666354179382}","{'roc_auc': [0.8424202127659575, 0.9355053191489362, 0.9341397849462365], 'fit_time': [0.06531929969787598, 0.0764768123626709, 0.0595548152923584], 'score_time': [0.0024003982543945312, 0.0019989013671875, 0.001874685287475586]}",0.9040217722870434,0.04356244768518794,0.06711697578430176,0.007024349350447415,0.0020913283030192056,0.00022435178440284164,0.8604593246018555
"{'n_estimators': 133.04835510253906, 'contamination': 0.004037873819470406, 'max_samples': 0.8846506476402283, 'max_features': 0.539316713809967}","{'roc_auc': [0.8776595744680851, 0.9328457446808511, 0.9233870967741935], 'fit_time': [0.2472095489501953, 0.3173556327819824, 0.20249271392822266], 'score_time': [0.003953456878662109, 0.004929304122924805, 0.0040302276611328125]}",0.9112974719743766,0.02409699312553828,0.2556859652201335,0.047274092668799075,0.004304329554239909,0.0004430337435511692,0.8872004788488383
"{'n_estimators': 136.50315856933594, 'contamination': 0.004045937210321426, 'max_samples': 0.7503098845481873, 'max_features': 0.31266728043556213}","{'roc_auc': [0.8756648936170214, 0.9275265957446808, 0.9233870967741935], 'fit_time': [0.2272346019744873, 0.2041463851928711, 0.20113039016723633], 'score_time': [0.0039899349212646484, 0.006727933883666992, 0.0050241947174072266]}",0.9088595287119653,0.023532909045937127,0.21083712577819824,0.01165995928250647,0.005247354507446289,0.00112886662880572,0.8853266196660282
"{'n_estimators': 156.54640197753906, 'contamination': 0.0027121033053845167, 'max_samples': 0.783015251159668, 'max_features': 0.8034738898277283}","{'roc_auc': [0.8789893617021277, 0.9341755319148938, 0.9213709677419355], 'fit_time': [0.2501249313354492, 0.46056652069091797, 0.333465576171875], 'score_time': [0.005708217620849609, 0.009499311447143555, 0.005663633346557617]}",0.9115119537863189,0.023583588401271446,0.3480523427327474,0.0865293628453755,0.006957054138183594,0.0017977395265719655,0.8879283653850475
"{'n_estimators': 169.78125, 'contamination': 0.0013514738529920578, 'max_samples': 0.6254488229751587, 'max_features': 0.8131734132766724}","{'roc_auc': [0.8696808510638298, 0.9162234042553191, 0.9368279569892473], 'fit_time': [0.2703287601470947, 0.25291872024536133, 0.2558615207672119], 'score_time': [0.004988908767700195, 0.006021022796630859, 0.004080772399902344]}",0.9075774041027987,0.028086158483232114,0.25970300038655597,0.007608990147378919,0.005030234654744466,0.0007926427409648005,0.8794912456195666
"{'n_estimators': 182.4518585205078, 'contamination': 0.004874170292168856, 'max_samples': 0.6310968399047852, 'max_features': 0.7925387620925903}","{'roc_auc': [0.8710106382978723, 0.9089095744680852, 0.9361559139784946], 'fit_time': [0.29936861991882324, 0.29904913902282715, 0.37650537490844727], 'score_time': [0.003989219665527344, 0.006980180740356445, 0.0076982975006103516]}",0.9053587089148173,0.026713707099653407,0.32497437795003253,0.03643815081895015,0.00622256596883138,0.0016061962734362503,0.8786450018151639
"{'n_estimators': 56.9458122253418, 'contamination': 0.003235710086300969, 'max_samples': 0.7543898820877075, 'max_features': 0.4847528338432312}","{'roc_auc': [0.8184840425531915, 0.9368351063829787, 0.9274193548387096], 'fit_time': [0.1207118034362793, 0.09252190589904785, 0.08568906784057617], 'score_time': [0.0034990310668945312, 0.0019948482513427734, 0.0019948482513427734]}",0.8942461679249599,0.05370964422970063,0.0996409257253011,0.01515823944519004,0.0024962425231933594,0.0007090785793472812,0.8405365236952593
"{'n_estimators': 235.77720642089844, 'contamination': 0.0012310693273320794, 'max_samples': 0.9557486772537231, 'max_features': 0.9904900193214417}","{'roc_auc': [0.8537234042553192, 0.9308510638297872, 0.92002688172043], 'fit_time': [0.37363576889038086, 0.3619201183319092, 0.5532057285308838], 'score_time': [0.0070612430572509766, 0.008694887161254883, 0.007977008819580078]}",0.9015337832685121,0.03409462309145927,0.4295872052510579,0.08754225109593533,0.007911046346028646,0.0006685614160640986,0.8674391601770528
"{'n_estimators': 66.22550964355469, 'contamination': 0.0022195761557668447, 'max_samples': 0.8876900672912598, 'max_features': 0.7943034172058105}","{'roc_auc': [0.8503989361702128, 0.9295212765957447, 0.9005376344086022], 'fit_time': [0.17632269859313965, 0.11602210998535156, 0.10061931610107422], 'score_time': [0.00514674186706543, 0.001995086669921875, 0.002032756805419922]}",0.8934859490581865,0.03268415404355644,0.13098804155985513,0.03266736252086611,0.003058195114135742,0.0014769056422482257,0.8608017950146301
"{'n_estimators': 78.72996520996094, 'contamination': 0.002119729295372963, 'max_samples': 0.5510440468788147, 'max_features': 0.33462706208229065}","{'roc_auc': [0.8603723404255319, 0.9188829787234043, 0.9341397849462366], 'fit_time': [0.11990571022033691, 0.12150716781616211, 0.11529827117919922], 'score_time': [0.0035495758056640625, 0.002992391586303711, 0.0036745071411132812]}",0.9044650346983909,0.03179430557201636,0.11890371640523274,0.0026319312384954796,0.003405491511027018,0.0002965250079381534,0.8726707291263746
"{'n_estimators': 79.6440658569336, 'contamination': 0.0014516045339405537, 'max_samples': 0.8749909996986389, 'max_features': 0.8978183269500732}","{'roc_auc': [0.8809840425531915, 0.9335106382978724, 0.9280913978494624], 'fit_time': [0.1474769115447998, 0.12851524353027344, 0.12139439582824707], 'score_time': [0.005802154541015625, 0.001996755599975586, 0.002002716064453125]}",0.9141953595668421,0.02358793088418055,0.1324621836344401,0.01100782021005868,0.003267208735148112,0.0017924790209461622,0.8906074286826615
"{'n_estimators': 243.90774536132812, 'contamination': 0.003571014618501067, 'max_samples': 0.5787351131439209, 'max_features': 0.8776820302009583}","{'roc_auc': [0.8450797872340425, 0.9222074468085107, 0.9348118279569892], 'fit_time': [0.4462778568267822, 0.4130258560180664, 0.43517351150512695], 'score_time': [0.007977485656738281, 0.0069446563720703125, 0.007214546203613281]}",0.900699687333181,0.039664405296710926,0.4314924081166585,0.013822367888393909,0.007378896077473958,0.00043737264325016364,0.8610352820364701
"{'n_estimators': 51.21443557739258, 'contamination': 0.0019813955295830965, 'max_samples': 0.5390623211860657, 'max_features': 0.7173252105712891}","{'roc_auc': [0.8257978723404256, 0.9401595744680851, 0.9294354838709676], 'fit_time': [0.08048272132873535, 0.09615564346313477, 0.08217740058898926], 'score_time': [0.0019555091857910156, 0.0031061172485351562, 0.0019941329956054688]}",0.8984643102264928,0.051569111724435984,0.0862719217936198,0.007023007426979489,0.0023519198099772134,0.0005335311811673036,0.8468951985020567
"{'n_estimators': 166.09690856933594, 'contamination': 0.003929308149963617, 'max_samples': 0.36977118253707886, 'max_features': 0.3831169307231903}","{'roc_auc': [0.8410904255319148, 0.9248670212765957, 0.9254032258064516], 'fit_time': [0.28906941413879395, 0.2638871669769287, 0.3556039333343506], 'score_time': [0.004986286163330078, 0.007044076919555664, 0.005106210708618164]}",0.8971202242049873,0.03961965533531089,0.3028535048166911,0.03869101682671613,0.005712191263834636,0.0009430570940924748,0.8575005688696764
"{'n_estimators': 219.83334350585938, 'contamination': 0.0018649138510227203, 'max_samples': 0.7865527272224426, 'max_features': 0.5099517107009888}","{'roc_auc': [0.8670212765957447, 0.9355053191489361, 0.9274193548387097], 'fit_time': [0.4479846954345703, 0.32807040214538574, 0.36109423637390137], 'score_time': [0.004987478256225586, 0.0071828365325927734, 0.0069849491119384766]}",0.9099819835277968,0.030556640956130626,0.37904977798461914,0.05057443715067792,0.006385087966918945,0.0009915558600440638,0.8794253425716662
"{'n_estimators': 223.02296447753906, 'contamination': 0.0013921434292569757, 'max_samples': 0.7159250974655151, 'max_features': 0.7089880704879761}","{'roc_auc': [0.8577127659574467, 0.9348404255319148, 0.9395161290322581], 'fit_time': [0.41052961349487305, 0.5273663997650146, 0.34668898582458496], 'score_time': [0.00698089599609375, 0.006427764892578125, 0.00598597526550293]}",0.9106897735072065,0.03750900378576912,0.4281949996948242,0.0748114580317098,0.0064648787180582685,0.00040702161455396184,0.8731807697214373
"{'n_estimators': 217.75018310546875, 'contamination': 0.0019002518383786082, 'max_samples': 0.7490901350975037, 'max_features': 0.8294604420661926}","{'roc_auc': [0.8523936170212765, 0.9341755319148936, 0.9348118279569892], 'fit_time': [0.3349137306213379, 0.3627312183380127, 0.42655038833618164], 'score_time': [0.008829593658447266, 0.004987239837646484, 0.004988431930541992]}",0.9071269922977198,0.03870321257145869,0.37473177909851074,0.03836082509724091,0.006268421808878581,0.0018110220480046944,0.8684237797262611
"{'n_estimators': 148.4864044189453, 'contamination': 0.003869082313030958, 'max_samples': 0.6237838864326477, 'max_features': 0.5921767950057983}","{'roc_auc': [0.865691489361702, 0.9248670212765958, 0.9368279569892473], 'fit_time': [0.2773451805114746, 0.2247321605682373, 0.22470521926879883], 'score_time': [0.005547285079956055, 0.003992319107055664, 0.004986286163330078]}",0.9091288225425149,0.03110056195822688,0.24226085344950357,0.024808368017020903,0.004841963450113933,0.0006429627145136111,0.8780282605842881
"{'n_estimators': 213.2475128173828, 'contamination': 0.0006046667695045471, 'max_samples': 0.664111852645874, 'max_features': 0.5369749069213867}","{'roc_auc': [0.8424202127659574, 0.9248670212765958, 0.9388440860215054], 'fit_time': [0.3444173336029053, 0.36041760444641113, 0.3737797737121582], 'score_time': [0.00724339485168457, 0.009735107421875, 0.007353305816650391]}",0.9020437733546861,0.042544614368755784,0.3595382372538249,0.012003282531233254,0.008110602696736654,0.0011495743579118143,0.8594991589859303
