params,fold_scores,mean_test_roc_auc,std_test_roc_auc,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'n_neighbors': 6.720311164855957, 'contamination': 0.0028251002077013254}","{'roc_auc': [0.7599734042553191, 0.9361702127659575, 0.8024193548387096], 'fit_time': [0.033864498138427734, 0.02330303192138672, 0.021962642669677734], 'score_time': [0.02174687385559082, 0.01795220375061035, 0.019947052001953125]}",0.8328543239533287,0.0750823740571625,0.026376724243164062,0.005322858208798998,0.019882043202718098,0.0015498494355671254
"{'n_neighbors': 13.761991500854492, 'contamination': 0.004828925710171461}","{'roc_auc': [0.9082446808510638, 0.9255319148936171, 0.9435483870967744], 'fit_time': [0.055233001708984375, 0.021861553192138672, 0.024295330047607422], 'score_time': [0.02431631088256836, 0.027924299240112305, 0.02214837074279785]}",0.9257749942804852,0.014413702609255672,0.03379662831624349,0.015190334550195856,0.024796326955159504,0.002382316669963878
"{'n_neighbors': 22.792007446289062, 'contamination': 0.0031209413427859545}","{'roc_auc': [0.9099069148936171, 0.9195478723404256, 0.9448924731182796], 'fit_time': [0.020023584365844727, 0.022415637969970703, 0.01894855499267578], 'score_time': [0.01902151107788086, 0.01804971694946289, 0.019460678100585938]}",0.9247824201174407,0.014754608068785476,0.020462592442830402,0.0014490714639855992,0.018843968709309895,0.000589544350592308
"{'n_neighbors': 20.76763916015625, 'contamination': 0.0031342327129095793}","{'roc_auc': [0.9075797872340425, 0.9162234042553191, 0.9388440860215054], 'fit_time': [0.018459558486938477, 0.01795196533203125, 0.019530057907104492], 'score_time': [0.017032861709594727, 0.020039796829223633, 0.017574787139892578]}",0.9208824258369557,0.013181905685232668,0.018647193908691406,0.0006577736857499567,0.01821581522623698,0.0013085876506183298
"{'n_neighbors': 18.583751678466797, 'contamination': 0.0029790473636239767}","{'roc_auc': [0.9072473404255318, 0.9202127659574468, 0.9395161290322581], 'fit_time': [0.019710540771484375, 0.02045416831970215, 0.017469167709350586], 'score_time': [0.01894998550415039, 0.019193649291992188, 0.01810002326965332]}",0.9223254118050789,0.013258107806031635,0.019211292266845703,0.001268724809401882,0.018747886021931965,0.0004687839727912347
"{'n_neighbors': 17.18216896057129, 'contamination': 0.003566284431144595}","{'roc_auc': [0.90625, 0.9215425531914894, 0.9395161290322581], 'fit_time': [0.019947290420532227, 0.018947839736938477, 0.018764972686767578], 'score_time': [0.018065452575683594, 0.01795196533203125, 0.01795172691345215]}",0.9224362274079159,0.01359553420310117,0.01922003428141276,0.0005196384694668437,0.017989714940388996,5.3554683958658436e-05
"{'n_neighbors': 10.024084091186523, 'contamination': 0.002865712158381939}","{'roc_auc': [0.8929521276595745, 0.9335106382978723, 0.9455645161290323], 'fit_time': [0.017573118209838867, 0.01946401596069336, 0.020795106887817383], 'score_time': [0.02007460594177246, 0.018053770065307617, 0.019040346145629883]}",0.9240090940288264,0.02250518996050705,0.019277413686116535,0.0013219727851241539,0.019056240717569988,0.0008250793448570983
"{'n_neighbors': 18.07900047302246, 'contamination': 0.0008583840681239963}","{'roc_auc': [0.9072473404255318, 0.9202127659574468, 0.9395161290322581], 'fit_time': [0.02094292640686035, 0.01860356330871582, 0.021134376525878906], 'score_time': [0.018949508666992188, 0.01801133155822754, 0.01894855499267578]}",0.9223254118050789,0.013258107806031635,0.02022695541381836,0.0011505693466569772,0.018636465072631836,0.0004420363186415613
"{'n_neighbors': 17.038034439086914, 'contamination': 0.0036899198312312365}","{'roc_auc': [0.90625, 0.9215425531914894, 0.9395161290322581], 'fit_time': [0.02018427848815918, 0.021108627319335938, 0.018949270248413086], 'score_time': [0.01894855499267578, 0.019042253494262695, 0.020020723342895508]}",0.9224362274079159,0.01359553420310117,0.020080725351969402,0.0008845896144341675,0.019337177276611328,0.00048485136612460276
"{'n_neighbors': 17.820655822753906, 'contamination': 0.0016366355121135712}","{'roc_auc': [0.90625, 0.9215425531914894, 0.9395161290322581], 'fit_time': [0.017953157424926758, 0.018402814865112305, 0.01905512809753418], 'score_time': [0.017600059509277344, 0.01894974708557129, 0.01761794090270996]}",0.9224362274079159,0.01359553420310117,0.018470366795857746,0.0004524063721421935,0.01805591583251953,0.0006320762969541096
"{'n_neighbors': 10.300236701965332, 'contamination': 0.0048627001233398914}","{'roc_auc': [0.8929521276595745, 0.9335106382978723, 0.9455645161290323], 'fit_time': [0.017060041427612305, 0.019945859909057617, 0.01894855499267578], 'score_time': [0.019188404083251953, 0.01985621452331543, 0.01753091812133789]}",0.9240090940288264,0.02250518996050705,0.018651485443115234,0.0011967107182940836,0.01885851224263509,0.0009775385104576386
"{'n_neighbors': 16.7315673828125, 'contamination': 0.0027990113012492657}","{'roc_auc': [0.9065824468085106, 0.9235372340425532, 0.9422043010752689], 'fit_time': [0.019905567169189453, 0.019532203674316406, 0.021129369735717773], 'score_time': [0.019946575164794922, 0.01795196533203125, 0.025928735733032227]}",0.9241079939754443,0.014548160262298595,0.02018904685974121,0.0006821560955966893,0.021275758743286133,0.003389421115428547
"{'n_neighbors': 17.886707305908203, 'contamination': 0.004944854415953159}","{'roc_auc': [0.90625, 0.9215425531914894, 0.9395161290322581], 'fit_time': [0.019946813583374023, 0.01996159553527832, 0.01695418357849121], 'score_time': [0.02973151206970215, 0.023670434951782227, 0.017090320587158203]}",0.9224362274079159,0.01359553420310117,0.01895419756571452,0.0014142363282804325,0.02349742253621419,0.005162194655799083
"{'n_neighbors': 5.441287994384766, 'contamination': 0.0007988860597833991}","{'roc_auc': [0.6821808510638298, 0.9660904255319148, 0.7765456989247311], 'fit_time': [0.023936033248901367, 0.03390908241271973, 0.02499079704284668], 'score_time': [0.017988204956054688, 0.019948482513427734, 0.017951488494873047]}",0.8082723251734919,0.11805675394630812,0.027611970901489258,0.004473502855996103,0.01862939198811849,0.0009328582904531965
"{'n_neighbors': 21.253416061401367, 'contamination': 0.0036224182695150375}","{'roc_auc': [0.90625, 0.9182180851063829, 0.9415322580645161], 'fit_time': [0.02382946014404297, 0.030043363571166992, 0.022136449813842773], 'score_time': [0.017951250076293945, 0.039893150329589844, 0.02593207359313965]}",0.9220001143902996,0.014650079468751043,0.025336424509684246,0.0033993163519473743,0.027925491333007812,0.009067966784074311
