trial,roc_auc_mean,roc_auc_std,value,kernel,nu,gamma
0,0.5506272401433692,0.1551124442553848,39.55147958879843,sigmoid,0.0011759837739711999,0.07519885115153394
1,0.20692966903073284,0.09960957779530895,10.73200912354239,poly,0.0010054419973743488,0.058696977547618656
2,0.8893154693815298,0.04756463954287852,84.17508298386514,rbf,0.002481178980594067,0.09961082945269735
3,0.5810359948143065,0.218356441217724,36.267955359658245,linear,0.001702811565123484,0.012507029265337928
4,0.3618427324029589,0.039416540222697874,32.2426192180261,linear,0.0020122430987104946,0.07027658756365421
5,0.5824229771982002,0.07499103480097907,50.743194239722115,sigmoid,0.00014624935492550654,0.04471355191576119
6,0.620090749637764,0.10102641453423082,51.906433510353324,sigmoid,0.0030635799225180267,0.03389477722527653
7,0.8837079615648592,0.040723825296933705,84.29841362679255,rbf,0.0029628273092967795,0.0701839033027261
8,0.8890128117135667,0.04343072686665659,84.55820848469101,rbf,0.004890613695378629,0.03474600200064417
9,0.8921370967741936,0.056771600239319285,83.53654965348744,rbf,0.0021275455090825875,0.011766818512313676
10,0.14370281400137266,0.14103935601960255,0.26634579817701176,poly,0.004694536423636607,0.024538271613426386
11,0.8857240905971174,0.0423441782120658,84.33799123850517,rbf,0.004833845096337624,0.0881759834765999
12,0.8893154693815298,0.04603433364055945,84.32811357409705,rbf,0.00495598373462589,0.0980392312159218
13,0.8847875200183024,0.04207397133231048,84.27135486859919,rbf,0.003973896220930754,0.04352167334320344
14,0.8861578204834896,0.04083424461931579,84.53235758641738,rbf,0.004001741073964572,0.08022544394926479
15,0.8830216197666437,0.041359638824326424,84.16619809423173,rbf,0.0038687481569959123,0.052445158551849086
16,0.8919035499123007,0.04153064063358763,85.03729092787131,rbf,0.003985828238794024,0.027460684790624357
17,0.14370281400137266,0.14103935601960255,0.26634579817701176,poly,0.00349942526635362,0.026288777029929995
18,0.4030852017082285,0.053422214937571225,34.96629867706573,linear,0.004406220645335163,0.001949238115018223
19,0.8896729390681003,0.04100980253615603,84.86631365319442,rbf,0.004332831589561786,0.03305782217093196
20,0.8916986006253337,0.047082256047335874,84.46163445779979,rbf,0.0034072530016503568,0.021709274745394302
21,0.8883455349653016,0.04343072150520108,84.49148134601005,rbf,0.004326760799064736,0.036028679920434445
22,0.8881167543658964,0.043447146030974125,84.46696083349224,rbf,0.0043722140299522665,0.03548829692496004
23,0.8841321589262564,0.039172098406829226,84.49600605194271,rbf,0.0035996022492421707,0.05615408711731858
