params,fold_scores,mean_test_roc_auc,std_test_roc_auc,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'kernel': 'linear', 'nu': 0.00019950856221839786, 'gamma': 0.02136281132698059}","{'roc_auc': [0.5398936170212766, 0.3231382978723404, 0.39852150537634407], 'fit_time': [0.005984306335449219, 0.0045735836029052734, 0.0039904117584228516], 'score_time': [0.0009961128234863281, 0.0, 0.0]}",0.4205178067566537,0.08984651746413382,0.004849433898925781,0.0008370479617619452,0.00033203760782877606,0.00046957208820937396
"{'kernel': 'rbf', 'nu': 0.004358087666332722, 'gamma': 0.021178780123591423}","{'roc_auc': [0.8377659574468085, 0.9488031914893618, 0.8958333333333334], 'fit_time': [0.0029926300048828125, 0.002991199493408203, 0.0035016536712646484], 'score_time': [0.0009970664978027344, 0.0009980201721191406, 0.000997304916381836]}",0.8941341607565012,0.04534668107325741,0.003161827723185221,0.0002402939419847157,0.000997463862101237,4.052336624139774e-07
"{'kernel': 'rbf', 'nu': 0.0007194274221546948, 'gamma': 0.08232338726520538}","{'roc_auc': [0.8231382978723404, 0.9228723404255319, 0.8951612903225806], 'fit_time': [0.002991199493408203, 0.002991199493408203, 0.0029926300048828125], 'score_time': [0.0, 0.0009965896606445312, 0.000997781753540039]}",0.8803906428734843,0.04203450035823411,0.0029916763305664062,6.743495761743046e-07,0.0006647904713948568,0.000470078102315218
"{'kernel': 'linear', 'nu': 0.0012675775215029716, 'gamma': 0.03538745269179344}","{'roc_auc': [0.382313829787234, 0.26795212765957444, 0.31518817204301075], 'fit_time': [0.00399017333984375, 0.005985736846923828, 0.0039899349212646484], 'score_time': [0.0009963512420654297, 0.009971857070922852, 0.0]}",0.32181804316327306,0.04692274588219342,0.004655281702677409,0.0009407738595963343,0.0036560694376627603,0.004484421852050508
"{'kernel': 'poly', 'nu': 0.002277229679748416, 'gamma': 0.030684590339660645}","{'roc_auc': [0.34175531914893614, 0.06515957446808511, 0.364247311827957], 'fit_time': [0.003989458084106445, 0.003989696502685547, 0.002992868423461914], 'score_time': [0.000997304916381836, 0.0009980201721191406, 0.0009968280792236328]}",0.2570540684816594,0.13600023298561553,0.0036573410034179688,0.0004698530772812187,0.0009973843892415364,4.899036091938795e-07
"{'kernel': 'rbf', 'nu': 0.0026127116288989782, 'gamma': 0.020037366077303886}","{'roc_auc': [0.8344414893617021, 0.9501329787234042, 0.896505376344086], 'fit_time': [0.0029914379119873047, 0.0029904842376708984, 0.003989458084106445], 'score_time': [0.000997304916381836, 0.000997781753540039, 0.000997304916381836]}",0.8936932814763975,0.04727269180574104,0.003323793411254883,0.00047069616518911553,0.000997463862101237,2.247831920581015e-07
"{'kernel': 'linear', 'nu': 0.0037811407819390297, 'gamma': 0.07437634468078613}","{'roc_auc': [0.3630319148936171, 0.37367021276595747, 0.3575268817204301], 'fit_time': [0.0029909610748291016, 0.003992319107055664, 0.0019941329956054688], 'score_time': [0.0, 0.0009961128234863281, 0.0009975433349609375]}",0.36474300312666824,0.006700629399160266,0.0029924710591634116,0.0008157567627823179,0.0006645520528157552,0.00046990962589771486
"{'kernel': 'sigmoid', 'nu': 0.0003695857594721019, 'gamma': 0.05082807317376137}","{'roc_auc': [0.47606382978723405, 0.6482712765957447, 0.6108870967741935], 'fit_time': [0.001995563507080078, 0.0019941329956054688, 0.001994609832763672], 'score_time': [0.0009968280792236328, 0.0009989738464355469, 0.000997304916381836]}",0.5784074010523907,0.07395966990963013,0.0019947687784830728,5.947204250930057e-07,0.0009977022806803386,9.199648620915592e-07
"{'kernel': 'poly', 'nu': 0.0035396760795265436, 'gamma': 0.029067475348711014}","{'roc_auc': [0.34175531914893614, 0.06515957446808511, 0.37768817204301075], 'fit_time': [0.00398707389831543, 0.001992464065551758, 0.0019948482513427734], 'score_time': [0.0, 0.0, 0.0009970664978027344]}",0.2615343552200107,0.13963066369486307,0.0026581287384033203,0.0009397066384873661,0.0003323554992675781,0.00047002165459349024
"{'kernel': 'poly', 'nu': 0.004472860135138035, 'gamma': 0.019578998908400536}","{'roc_auc': [0.3809840425531915, 0.06515957446808511, 0.02956989247311828], 'fit_time': [0.0029916763305664062, 0.0029921531677246094, 0.002991199493408203], 'score_time': [0.000997781753540039, 0.0009980201721191406, 0.0]}",0.158571169831465,0.1579393783077839,0.0029916763305664062,3.8933590933214475e-07,0.0006652673085530599,0.0004704150352493203
