trial,roc_auc_mean,roc_auc_std,value,contamination,n_bins,n_random_cuts
0,0.2027460821322352,0.08908269631128078,11.366338582095441,0.004874135574087895,899,49
1,0.19860181689926026,0.09154666312640392,10.705515377285636,0.004170402565666033,3139,534
2,0.20670088843132772,0.0894907382112007,11.721015022012702,0.0030145495940432387,1742,761
3,0.17514584763212082,0.09272445386619341,8.24213937659274,0.0029214551796201862,2789,564
4,0.20395790436970943,0.08176919543367214,12.218870893603729,0.0029605633912272848,1310,572
5,0.20187743079386866,0.09802980213592663,10.384762865794203,0.004053005703333066,1493,680
6,0.19331245710363762,0.08853221188313905,10.478024522049857,0.0011794058500305341,3877,444
7,0.201350758788988,0.09068011457030735,11.067064421868066,0.0022777340548395674,2074,468
8,0.20780666132845269,0.08581051029401233,12.199615103444035,0.002564096046836022,2023,849
9,0.19704801532830016,0.0913826158849336,10.566539944336656,0.0026017866530798138,2574,674
10,0.19585525814077634,0.09428057872905561,10.157467941172072,0.0034161384310088046,1759,649
11,0.4317185236025318,0.1463471183034551,28.537140529907674,0.0033831397837953497,96,520
12,0.24264089071913367,0.07571898505549285,16.692190566364083,0.0030151448406442374,539,521
13,0.1892337279798673,0.09117609057884643,9.805763740102085,0.002318862174097841,2785,406
14,0.3033034965301609,0.1213431378951799,18.1960358634981,0.0033279480386586248,169,698
15,0.2842813429421185,0.09342653149630856,19.085481144580992,0.0031387091346716978,220,825
16,0.37679688095782815,0.15885016647695685,21.79467144808713,0.0030126202048943703,110,546
17,0.207146533973919,0.0956737051392121,11.14728288347069,0.002239035401398063,1286,676
18,0.20342646610234116,0.09361535113581418,10.981111496652698,0.003605728233299064,2180,715
19,0.22095201326927474,0.08468952670346146,13.62624865658133,0.0038998547846456214,1073,450
20,0.21692452146724625,0.08051084880173139,13.641367266551486,0.0034092477351807863,1189,637
21,0.2429840616182415,0.10379640020995512,13.918766140828637,0.004781226574629524,337,84
22,0.24690192938305497,0.08229384539621813,16.460808398683685,0.004206192235975752,391,213
23,0.20445121253717682,0.09101259710455059,11.343861543262623,0.0038247707925688555,1402,476
24,0.19557166552276364,0.08637102112932345,10.920064439344019,0.002466316501978153,3284,560
25,0.19295737054831083,0.1031348894797178,8.982248106859302,0.003392045085120903,1539,307
26,0.2547424311751697,0.10199474744837543,15.274768372679425,0.003521385355093285,288,376
27,0.20495167009837567,0.09158303773311705,11.336863236525863,0.0024742525100977172,1581,671
28,0.20803067566537026,0.07579413331114225,13.2236542354228,0.0030049105662536247,1046,473
29,0.21580683291390224,0.09224544898375912,12.35613839301431,0.004235685425581844,1162,157
30,0.2264784946236559,0.07438532139793719,15.209317322571872,0.001607038850550516,634,225
31,0.23108985358041637,0.07576011384016618,15.532973974025019,0.003251270553010057,660,588
32,0.1988699191641882,0.08909350041940446,10.977641874478374,0.0033775946413612235,2367,406
33,0.22885685960497215,0.08004006577606182,14.881679382891033,0.0034639914387124037,900,306
34,0.22733165560893767,0.10108498449401655,12.62466711149211,0.004296169567022562,708,121
35,0.20265194844810494,0.08018496987832495,12.246697856977999,0.003394838809739684,3345,356
36,0.21072123083962482,0.09682094697990605,11.390028385971878,0.0033443935259009966,887,424
37,0.20975606268588423,0.07620154201115711,13.355452067472712,0.003314680949488548,1209,495
38,0.2542229085640204,0.10799056361473247,14.623234494928795,0.003162002621669181,421,146
39,0.20048925684435293,0.06631035272324144,13.41789041211115,0.003482542596464716,1459,168
40,0.24668744757111263,0.08856421641196514,15.81232311591475,0.0016743190467086097,437,842
41,0.2693319606497369,0.11489349152955984,15.443846912017706,0.004055824909375024,238,99
42,0.2157758522077328,0.08486675414316189,13.090909806457091,0.002339620627016487,1145,435
43,0.22559435293220473,0.08543850014221142,14.015585278999332,0.0019041022896793376,760,794
44,0.20141510333257073,0.09853804536019285,10.287705797237788,0.002361673208709898,2266,787
45,0.23736702127659573,0.08811951941526214,14.924750186133359,0.00249259109502966,581,651
46,0.2764956531686113,0.08765204066195334,18.884361250665798,0.002489858394858913,262,259
47,0.22551570960115916,0.06866220104883691,15.685350855232224,0.002807170724812329,697,429
48,0.2168887744985892,0.08739401903674049,12.949475546184871,0.0025493905931944756,1081,507
49,0.21103818729505072,0.07447642475984305,13.65617625352077,0.0023442795879304035,993,213
50,0.22112359871882867,0.07761586053485582,14.350773818397283,0.0018841603132552208,981,630
51,0.23848947609242735,0.10336747985083536,13.5121996241592,0.002603033119596325,382,262
52,0.2513440860215053,0.09404633508663812,15.729775093486719,0.0024365792291688596,379,571
53,0.21047338519026923,0.09540026164545154,11.507312354481769,0.002828825607027789,900,539
54,0.27470115534202705,0.09551936411292423,17.91817912291028,0.0017156093452329318,242,693
55,0.26116258674597725,0.08750040485435409,17.366218189162318,0.0035748354229387398,280,219
56,0.2291356859604972,0.08703867571304369,14.20970102474535,0.002231852246327628,482,523
57,0.2311279836803172,0.08547272771036195,14.565525596995526,0.002371238396281597,666,599
58,0.26027367879203844,0.08868128791667279,17.159239087536566,0.0022763396653774455,372,641
59,0.24576040951727296,0.08351046366367328,16.22499458535997,0.0009938062667006432,362,609
60,0.2575664416990772,0.08439996711580118,17.316647458327605,0.003188129786192438,518,395
61,0.5089748722641653,0.10649174658770637,40.24831256764589,0.0030628377286274567,78,405
62,0.5506034088309312,0.11106863450341972,43.95347743275114,0.0033569644330472418,65,191
63,0.2320121253717685,0.07609263619037614,15.591948918139236,0.0020314641641973434,503,544
64,0.2188858384808968,0.06663297246093783,15.225286601995897,0.002897899840158547,580,168
65,0.242235758407687,0.08415746659934534,15.807829180834165,0.0036755802204553613,441,429
